game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
485,q_learning,random,J0,30,19,19,30,17,13,4
486,q_learning,random,J1,25,30,30,25,24,11,13
487,q_learning,random,J0,30,4,4,30,6,5,1
488,q_learning,random,J1,14,30,30,14,15,6,9
489,q_learning,random,J0,30,6,6,30,9,6,3
490,q_learning,random,J0,30,1,1,30,6,5,1
491,q_learning,random,J0,30,13,13,30,20,14,6
492,q_learning,random,J0,30,26,26,30,24,15,9
493,q_learning,random,J1,7,30,30,7,6,4,2
494,q_learning,random,J1,0,30,30,0,0,0,0
495,q_learning,random,J0,30,14,14,30,13,11,2
496,q_learning,random,J0,30,17,17,30,11,9,2
497,q_learning,random,J0,30,17,17,30,16,11,5
498,q_learning,random,J0,30,20,20,30,19,13,6
499,q_learning,random,J0,30,27,27,30,19,12,7
500,q_learning,random,J0,30,13,13,30,17,15,2
501,q_learning,random,J0,30,25,25,30,20,17,3
502,q_learning,random,J0,30,5,5,30,5,4,1
503,q_learning,random,J1,24,30,30,24,18,10,8
504,q_learning,random,J0,30,20,20,30,21,12,9
505,q_learning,random,J1,24,30,30,24,18,10,8
506,q_learning,random,J1,16,30,30,16,8,7,1
507,q_learning,random,J0,30,21,21,30,23,15,8
508,q_learning,random,J0,30,3,3,30,2,0,2
509,q_learning,random,J0,30,26,26,30,17,13,4
510,q_learning,random,J0,30,2,2,30,4,3,1
511,q_learning,random,J0,30,5,5,30,4,4,0
512,q_learning,random,J1,15,30,30,15,16,9,7
513,q_learning,random,J0,30,22,22,30,22,16,6
514,q_learning,random,J0,30,28,28,30,28,19,9
515,q_learning,random,J0,30,4,4,30,4,3,1
516,q_learning,random,J1,0,30,30,0,0,0,0
517,q_learning,random,J0,30,21,21,30,22,14,8
518,q_learning,random,J0,30,21,21,30,17,11,6
519,q_learning,random,J0,30,21,21,30,20,15,5
520,q_learning,random,J0,30,3,3,30,4,3,1
521,q_learning,random,J0,30,18,18,30,18,13,5
522,q_learning,random,J0,30,15,15,30,10,3,7
523,q_learning,random,J1,14,30,30,14,12,7,5
524,q_learning,random,J0,30,17,17,30,22,14,8
525,q_learning,random,J1,25,30,30,25,21,14,7
526,q_learning,random,J0,30,19,19,30,20,14,6
527,q_learning,random,J0,30,17,17,30,17,11,6
528,q_learning,random,J0,30,24,24,30,23,16,7
529,q_learning,random,J1,29,30,30,29,21,13,8
530,q_learning,random,J0,30,11,11,30,9,5,4
531,q_learning,random,J0,30,26,26,30,20,12,8
532,q_learning,random,J0,30,7,7,30,7,5,2
533,q_learning,random,J0,30,26,26,30,22,11,11
534,q_learning,random,J0,30,10,10,30,9,7,2
535,q_learning,random,J1,1,30,30,1,2,1,1
536,q_learning,random,J0,30,17,17,30,22,15,7
537,q_learning,random,J0,30,26,26,30,19,13,6
538,q_learning,random,J0,30,21,21,30,23,16,7
539,q_learning,random,J0,30,24,24,30,19,13,6
540,q_learning,random,J1,0,30,30,0,0,0,0
541,q_learning,random,J0,30,14,14,30,12,4,8
542,q_learning,random,J1,29,30,30,29,24,15,9
543,q_learning,random,J0,30,24,24,30,19,11,8
544,q_learning,random,J0,30,19,19,30,21,15,6
545,q_learning,random,J0,30,17,17,30,15,10,5
546,q_learning,random,J1,26,30,30,26,21,12,9
547,q_learning,random,J1,11,30,30,11,8,8,0
548,q_learning,random,J1,1,30,30,1,2,1,1
549,q_learning,random,J0,30,17,17,30,15,12,3
550,q_learning,random,J1,24,30,30,24,21,16,5
551,q_learning,random,J0,30,11,11,30,12,10,2
552,q_learning,random,J0,30,14,14,30,15,13,2
553,q_learning,random,J0,30,14,14,30,14,11,3
554,q_learning,random,J0,30,0,0,30,0,0,0
555,q_learning,random,J0,30,15,15,30,19,14,5
556,q_learning,random,J0,30,20,20,30,23,16,7
557,q_learning,random,J1,15,30,30,15,10,9,1
558,q_learning,random,J0,30,22,22,30,20,13,7
559,q_learning,random,J0,30,19,19,30,19,12,7
560,q_learning,random,J1,29,30,30,29,20,13,7
