game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
123,rational,sb3_league,N/A,N/A,J0,30,23,23,30,15,6,9
124,rational,sb3_league,N/A,N/A,J0,30,13,13,30,17,11,6
125,rational,sb3_league,N/A,N/A,J0,30,4,4,30,4,3,1
126,rational,sb3_league,N/A,N/A,J0,30,7,7,30,3,1,2
127,rational,sb3_league,N/A,N/A,J0,30,12,12,30,11,6,5
128,rational,sb3_league,N/A,N/A,J0,30,15,15,30,15,10,5
129,rational,sb3_league,N/A,N/A,J0,30,17,17,30,16,9,7
130,rational,sb3_league,N/A,N/A,J0,30,11,11,30,9,5,4
131,rational,sb3_league,N/A,N/A,J0,30,16,16,30,17,9,8
132,rational,sb3_league,N/A,N/A,J0,30,3,3,30,2,0,2
133,rational,sb3_league,N/A,N/A,J0,30,15,15,30,15,10,5
134,rational,sb3_league,N/A,N/A,J0,30,1,1,30,1,1,0
135,rational,sb3_league,N/A,N/A,J0,30,10,10,30,7,2,5
136,rational,sb3_league,N/A,N/A,J0,30,16,16,30,12,4,8
137,rational,sb3_league,N/A,N/A,J0,30,24,24,30,20,10,10
138,rational,sb3_league,N/A,N/A,J0,30,6,6,30,13,10,3
139,rational,sb3_league,N/A,N/A,J0,30,18,18,30,15,10,5
140,rational,sb3_league,N/A,N/A,J1,28,30,30,28,20,10,10
141,rational,sb3_league,N/A,N/A,J1,24,30,30,24,11,10,1
142,rational,sb3_league,N/A,N/A,J0,30,7,7,30,9,5,4
143,rational,sb3_league,N/A,N/A,J0,30,10,10,30,12,8,4
144,rational,sb3_league,N/A,N/A,J1,22,30,30,22,20,7,13
145,rational,sb3_league,N/A,N/A,J1,24,30,30,24,22,8,14
146,rational,sb3_league,N/A,N/A,J0,30,18,18,30,18,8,10
147,rational,sb3_league,N/A,N/A,J0,30,24,24,30,17,9,8
148,rational,sb3_league,N/A,N/A,J0,30,23,23,30,17,8,9
149,rational,sb3_league,N/A,N/A,J0,30,13,13,30,13,8,5
150,rational,sb3_league,N/A,N/A,J1,26,30,30,26,22,10,12
151,rational,sb3_league,N/A,N/A,J0,30,12,12,30,7,1,6
152,rational,sb3_league,N/A,N/A,J0,30,14,14,30,10,2,8
153,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
154,rational,sb3_league,N/A,N/A,J1,28,30,30,28,17,8,9
155,rational,sb3_league,N/A,N/A,J0,30,21,21,30,18,8,10
156,rational,sb3_league,N/A,N/A,J1,7,30,30,7,6,3,3
157,rational,sb3_league,N/A,N/A,J0,30,13,13,30,16,11,5
158,rational,sb3_league,N/A,N/A,J0,30,20,20,30,18,7,11
159,rational,sb3_league,N/A,N/A,J0,30,24,24,30,20,6,14
160,rational,sb3_league,N/A,N/A,J0,30,3,3,30,3,1,2
161,rational,sb3_league,N/A,N/A,J0,30,15,15,30,14,8,6
162,rational,sb3_league,N/A,N/A,J0,30,14,14,30,14,8,6
163,rational,sb3_league,N/A,N/A,J0,30,22,22,30,18,9,9
164,rational,sb3_league,N/A,N/A,J1,19,30,30,19,17,7,10
165,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
166,rational,sb3_league,N/A,N/A,J0,30,25,25,30,20,8,12
167,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
168,rational,sb3_league,N/A,N/A,J0,30,26,26,30,19,8,11
169,rational,sb3_league,N/A,N/A,J0,30,8,8,30,9,4,5
170,rational,sb3_league,N/A,N/A,J0,30,24,24,30,20,10,10
171,rational,sb3_league,N/A,N/A,J0,30,5,5,30,3,0,3
172,rational,sb3_league,N/A,N/A,J0,30,25,25,30,21,11,10
173,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
174,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
175,rational,sb3_league,N/A,N/A,J0,30,5,5,30,4,3,1
176,rational,sb3_league,N/A,N/A,J0,30,3,3,30,4,2,2
177,rational,sb3_league,N/A,N/A,J1,20,30,30,20,15,7,8
178,rational,sb3_league,N/A,N/A,J0,30,28,28,30,22,13,9
179,rational,sb3_league,N/A,N/A,J0,30,16,16,30,14,8,6
180,rational,sb3_league,N/A,N/A,J1,12,30,30,12,14,3,11
181,rational,sb3_league,N/A,N/A,J0,30,26,26,30,21,9,12
182,rational,sb3_league,N/A,N/A,J1,27,30,30,27,22,12,10
183,rational,sb3_league,N/A,N/A,J0,30,20,20,30,17,11,6
184,rational,sb3_league,N/A,N/A,J0,30,17,17,30,11,3,8
185,rational,sb3_league,N/A,N/A,J0,30,15,15,30,10,3,7
186,rational,sb3_league,N/A,N/A,J0,30,2,2,30,1,0,1
187,rational,sb3_league,N/A,N/A,J0,30,16,16,30,8,4,4
188,rational,sb3_league,N/A,N/A,J0,30,20,20,30,17,11,6
189,rational,sb3_league,N/A,N/A,J1,23,30,30,23,21,10,11
190,rational,sb3_league,N/A,N/A,J0,30,14,14,30,15,12,3
191,rational,sb3_league,N/A,N/A,J0,30,28,28,30,22,10,12
192,rational,sb3_league,N/A,N/A,J0,30,24,24,30,18,10,8
193,rational,sb3_league,N/A,N/A,J0,30,29,29,30,20,8,12
194,rational,sb3_league,N/A,N/A,J1,16,30,30,16,18,4,14
195,rational,sb3_league,N/A,N/A,J0,30,19,19,30,13,6,7
196,rational,sb3_league,N/A,N/A,J1,3,30,30,3,2,2,0
197,rational,sb3_league,N/A,N/A,J0,30,27,27,30,19,8,11
198,rational,sb3_league,N/A,N/A,J1,29,30,30,29,22,11,11
199,rational,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
200,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
201,rational,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
202,rational,sb3_league,N/A,N/A,J0,30,21,21,30,18,9,9
203,rational,sb3_league,N/A,N/A,J0,30,26,26,30,13,3,10
204,rational,sb3_league,N/A,N/A,J0,30,12,12,30,11,3,8
205,rational,sb3_league,N/A,N/A,J0,30,19,19,30,9,2,7
206,rational,sb3_league,N/A,N/A,J0,30,3,3,30,3,1,2
207,rational,sb3_league,N/A,N/A,J0,30,17,17,30,17,6,11
208,rational,sb3_league,N/A,N/A,J0,30,9,9,30,7,4,3
209,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
210,rational,sb3_league,N/A,N/A,J1,9,30,30,9,8,4,4
211,rational,sb3_league,N/A,N/A,J0,30,0,0,30,2,2,0
212,rational,sb3_league,N/A,N/A,J0,30,26,26,30,21,10,11
213,rational,sb3_league,N/A,N/A,J0,30,18,18,30,18,11,7
214,rational,sb3_league,N/A,N/A,J1,23,30,30,23,16,7,9
215,rational,sb3_league,N/A,N/A,J0,30,12,12,30,8,4,4
216,rational,sb3_league,N/A,N/A,J0,30,26,26,30,21,9,12
217,rational,sb3_league,N/A,N/A,J1,21,30,30,21,19,9,10
218,rational,sb3_league,N/A,N/A,J1,23,30,30,23,23,10,13
219,rational,sb3_league,N/A,N/A,J0,30,21,21,30,19,9,10
220,rational,sb3_league,N/A,N/A,J1,18,30,30,18,18,9,9
221,rational,sb3_league,N/A,N/A,J0,30,7,7,30,3,1,2
222,rational,sb3_league,N/A,N/A,J0,30,20,20,30,18,12,6
223,rational,sb3_league,N/A,N/A,J0,30,6,6,30,5,2,3
224,rational,sb3_league,N/A,N/A,J0,30,19,19,30,15,6,9
225,rational,sb3_league,N/A,N/A,J0,30,5,5,30,4,2,2
226,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
227,rational,sb3_league,N/A,N/A,J0,30,11,11,30,7,2,5
228,rational,sb3_league,N/A,N/A,J0,30,6,6,30,6,3,3
229,rational,sb3_league,N/A,N/A,J0,30,5,5,30,2,0,2
230,rational,sb3_league,N/A,N/A,J0,30,2,2,30,2,1,1
231,rational,sb3_league,N/A,N/A,J0,30,17,17,30,19,11,8
232,rational,sb3_league,N/A,N/A,J0,30,29,29,30,22,12,10
233,rational,sb3_league,N/A,N/A,J1,22,30,30,22,19,8,11
234,rational,sb3_league,N/A,N/A,J0,30,18,18,30,17,8,9
235,rational,sb3_league,N/A,N/A,J1,28,30,30,28,22,9,13
236,rational,sb3_league,N/A,N/A,J0,30,21,21,30,15,11,4
237,rational,sb3_league,N/A,N/A,J0,30,10,10,30,18,12,6
238,rational,sb3_league,N/A,N/A,J0,30,20,20,30,22,12,10
239,rational,sb3_league,N/A,N/A,J0,30,6,6,30,6,4,2
240,rational,sb3_league,N/A,N/A,J0,30,1,1,30,2,1,1
241,rational,sb3_league,N/A,N/A,J1,28,30,30,28,24,11,13
242,rational,sb3_league,N/A,N/A,J1,23,30,30,23,24,12,12
243,rational,sb3_league,N/A,N/A,J0,30,2,2,30,2,1,1
244,rational,sb3_league,N/A,N/A,J1,27,30,30,27,22,7,15
245,rational,sb3_league,N/A,N/A,J0,30,10,10,30,9,6,3
246,rational,sb3_league,N/A,N/A,J0,30,29,29,30,19,9,10
247,rational,sb3_league,N/A,N/A,J1,17,30,30,17,13,5,8
248,rational,sb3_league,N/A,N/A,J1,16,30,30,16,7,4,3
249,rational,sb3_league,N/A,N/A,J0,30,15,15,30,13,7,6
250,rational,sb3_league,N/A,N/A,J0,30,26,26,30,20,12,8
251,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
252,rational,sb3_league,N/A,N/A,J0,30,16,16,30,14,8,6
253,rational,sb3_league,N/A,N/A,J0,30,17,17,30,14,7,7
254,rational,sb3_league,N/A,N/A,J0,30,26,26,30,20,8,12
255,rational,sb3_league,N/A,N/A,J0,30,3,3,30,2,1,1
256,rational,sb3_league,N/A,N/A,J1,26,30,30,26,20,8,12
257,rational,sb3_league,N/A,N/A,J1,4,30,30,4,4,1,3
258,rational,sb3_league,N/A,N/A,J1,7,30,30,7,6,3,3
259,rational,sb3_league,N/A,N/A,J0,30,20,20,30,18,9,9
260,rational,sb3_league,N/A,N/A,J0,30,14,14,30,15,8,7
261,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
262,rational,sb3_league,N/A,N/A,J0,30,15,15,30,17,8,9
263,rational,sb3_league,N/A,N/A,J0,30,5,5,30,3,1,2
264,rational,sb3_league,N/A,N/A,J1,13,30,30,13,17,8,9
265,rational,sb3_league,N/A,N/A,J0,30,26,26,30,22,8,14
266,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
267,rational,sb3_league,N/A,N/A,J0,30,17,17,30,17,11,6
268,rational,sb3_league,N/A,N/A,J0,30,4,4,30,4,2,2
269,rational,sb3_league,N/A,N/A,J1,0,30,30,0,1,0,1
270,rational,sb3_league,N/A,N/A,J1,23,30,30,23,22,7,15
271,rational,sb3_league,N/A,N/A,J0,30,29,29,30,21,7,14
272,rational,sb3_league,N/A,N/A,J0,30,15,15,30,15,9,6
273,rational,sb3_league,N/A,N/A,J0,30,28,28,30,14,7,7
274,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
275,rational,sb3_league,N/A,N/A,J1,0,30,30,0,2,0,2
276,rational,sb3_league,N/A,N/A,J0,30,3,3,30,2,1,1
277,rational,sb3_league,N/A,N/A,J0,30,14,14,30,14,8,6
278,rational,sb3_league,N/A,N/A,J0,30,15,15,30,16,10,6
279,rational,sb3_league,N/A,N/A,J1,28,30,30,28,23,15,8
280,rational,sb3_league,N/A,N/A,J0,30,4,4,30,5,4,1
281,rational,sb3_league,N/A,N/A,J0,30,25,25,30,18,9,9
282,rational,sb3_league,N/A,N/A,J0,30,23,23,30,18,9,9
283,rational,sb3_league,N/A,N/A,J0,30,25,25,30,22,11,11
284,rational,sb3_league,N/A,N/A,J0,30,11,11,30,11,8,3
285,rational,sb3_league,N/A,N/A,J0,30,26,26,30,22,11,11
286,rational,sb3_league,N/A,N/A,J1,10,30,30,10,8,4,4
287,rational,sb3_league,N/A,N/A,J1,29,30,30,29,22,7,15
288,rational,sb3_league,N/A,N/A,J0,30,22,22,30,21,11,10
289,rational,sb3_league,N/A,N/A,J1,19,30,30,19,16,8,8
290,rational,sb3_league,N/A,N/A,J1,20,30,30,20,21,7,14
291,rational,sb3_league,N/A,N/A,J0,30,18,18,30,14,8,6
292,rational,sb3_league,N/A,N/A,J0,30,24,24,30,19,9,10
293,rational,sb3_league,N/A,N/A,J0,30,2,2,30,2,1,1
294,rational,sb3_league,N/A,N/A,J0,30,14,14,30,13,10,3
295,rational,sb3_league,N/A,N/A,J1,18,30,30,18,18,7,11
296,rational,sb3_league,N/A,N/A,J0,30,15,15,30,16,9,7
297,rational,sb3_league,N/A,N/A,J1,6,30,30,6,3,1,2
298,rational,sb3_league,N/A,N/A,J1,13,30,30,13,6,5,1
299,rational,sb3_league,N/A,N/A,J1,22,30,30,22,22,8,14
300,rational,sb3_league,N/A,N/A,J0,30,1,1,30,2,2,0
301,rational,sb3_league,N/A,N/A,J0,30,3,3,30,3,2,1
302,rational,sb3_league,N/A,N/A,J0,30,16,16,30,16,11,5
303,rational,sb3_league,N/A,N/A,J0,30,15,15,30,16,11,5
304,rational,sb3_league,N/A,N/A,J0,30,11,11,30,11,6,5
305,rational,sb3_league,N/A,N/A,J0,30,29,29,30,21,10,11
306,rational,sb3_league,N/A,N/A,J1,17,30,30,17,15,6,9
307,rational,sb3_league,N/A,N/A,J0,30,0,0,30,2,2,0
308,rational,sb3_league,N/A,N/A,J0,30,26,26,30,17,7,10
309,rational,sb3_league,N/A,N/A,J0,30,27,27,30,19,6,13
310,rational,sb3_league,N/A,N/A,J0,30,26,26,30,20,10,10
311,rational,sb3_league,N/A,N/A,J0,30,1,1,30,1,1,0
312,rational,sb3_league,N/A,N/A,J0,30,28,28,30,21,11,10
313,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
314,rational,sb3_league,N/A,N/A,J0,30,8,8,30,8,4,4
315,rational,sb3_league,N/A,N/A,J1,27,30,30,27,16,4,12
316,rational,sb3_league,N/A,N/A,J0,30,13,13,30,13,8,5
317,rational,sb3_league,N/A,N/A,J0,30,6,6,30,8,5,3
318,rational,sb3_league,N/A,N/A,J0,30,26,26,30,18,8,10
319,rational,sb3_league,N/A,N/A,J0,30,12,12,30,9,5,4
320,rational,sb3_league,N/A,N/A,J0,30,12,12,30,13,6,7
321,rational,sb3_league,N/A,N/A,J0,30,23,23,30,22,15,7
322,rational,sb3_league,N/A,N/A,J0,30,17,17,30,20,10,10
323,rational,sb3_league,N/A,N/A,J0,30,8,8,30,8,4,4
324,rational,sb3_league,N/A,N/A,J0,30,18,18,30,18,9,9
325,rational,sb3_league,N/A,N/A,J0,30,16,16,30,15,8,7
326,rational,sb3_league,N/A,N/A,J0,30,23,23,30,15,4,11
327,rational,sb3_league,N/A,N/A,J0,30,13,13,30,15,10,5
328,rational,sb3_league,N/A,N/A,J0,30,12,12,30,8,0,8
329,rational,sb3_league,N/A,N/A,J0,30,2,2,30,2,1,1
330,rational,sb3_league,N/A,N/A,J0,30,15,15,30,18,10,8
331,rational,sb3_league,N/A,N/A,J0,30,2,2,30,1,0,1
332,rational,sb3_league,N/A,N/A,J0,30,28,28,30,21,7,14
333,rational,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
334,rational,sb3_league,N/A,N/A,J0,30,11,11,30,8,2,6
335,rational,sb3_league,N/A,N/A,J0,30,1,1,30,2,2,0
336,rational,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
337,rational,sb3_league,N/A,N/A,J0,30,20,20,30,16,6,10
338,rational,sb3_league,N/A,N/A,J0,30,11,11,30,13,7,6
339,rational,sb3_league,N/A,N/A,J0,30,2,2,30,2,2,0
340,rational,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
341,rational,sb3_league,N/A,N/A,J0,30,2,2,30,1,0,1
342,rational,sb3_league,N/A,N/A,J1,13,30,30,13,9,6,3
343,rational,sb3_league,N/A,N/A,J0,30,14,14,30,15,8,7
344,rational,sb3_league,N/A,N/A,J0,30,25,25,30,20,8,12
345,rational,sb3_league,N/A,N/A,J0,30,20,20,30,16,5,11
346,rational,sb3_league,N/A,N/A,J0,30,12,12,30,10,4,6
347,rational,sb3_league,N/A,N/A,J1,24,30,30,24,18,5,13
348,rational,sb3_league,N/A,N/A,J1,27,30,30,27,21,8,13
349,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
350,rational,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
351,rational,sb3_league,N/A,N/A,J0,30,0,0,30,2,2,0
352,rational,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
353,rational,sb3_league,N/A,N/A,J0,30,14,14,30,17,12,5
354,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
355,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
356,rational,sb3_league,N/A,N/A,J0,30,8,8,30,13,9,4
357,rational,sb3_league,N/A,N/A,J1,23,30,30,23,17,7,10
358,rational,sb3_league,N/A,N/A,J0,30,1,1,30,1,1,0
359,rational,sb3_league,N/A,N/A,J0,30,2,2,30,3,3,0
360,rational,sb3_league,N/A,N/A,J0,30,18,18,30,17,8,9
361,rational,sb3_league,N/A,N/A,J0,30,13,13,30,11,4,7
362,rational,sb3_league,N/A,N/A,J0,30,13,13,30,9,4,5
363,rational,sb3_league,N/A,N/A,J0,30,29,29,30,22,12,10
364,rational,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
365,rational,sb3_league,N/A,N/A,J1,8,30,30,8,4,1,3
366,rational,sb3_league,N/A,N/A,J0,30,11,11,30,6,3,3
367,rational,sb3_league,N/A,N/A,J0,30,16,16,30,16,9,7
368,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
369,rational,sb3_league,N/A,N/A,J1,23,30,30,23,21,12,9
370,rational,sb3_league,N/A,N/A,J0,30,14,14,30,14,10,4
371,rational,sb3_league,N/A,N/A,J1,18,30,30,18,14,7,7
372,rational,sb3_league,N/A,N/A,J1,22,30,30,22,18,6,12
373,rational,sb3_league,N/A,N/A,J0,30,15,15,30,16,9,7
374,rational,sb3_league,N/A,N/A,J0,30,17,17,30,17,9,8
375,rational,sb3_league,N/A,N/A,J0,30,12,12,30,15,8,7
376,rational,sb3_league,N/A,N/A,J0,30,13,13,30,16,11,5
377,rational,sb3_league,N/A,N/A,J0,30,3,3,30,3,2,1
378,rational,sb3_league,N/A,N/A,J0,30,5,5,30,7,3,4
379,rational,sb3_league,N/A,N/A,J1,0,30,30,0,1,0,1
380,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
381,rational,sb3_league,N/A,N/A,J0,30,11,11,30,5,1,4
382,rational,sb3_league,N/A,N/A,J1,17,30,30,17,12,6,6
383,rational,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
