game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
796,sb3,random,J0,30,29,29,30,15,12,3
797,sb3,random,J1,20,30,30,20,17,12,5
798,sb3,random,J1,29,30,30,29,15,13,2
799,sb3,random,J1,8,30,30,8,8,4,4
800,sb3,random,J0,30,22,22,30,15,10,5
801,sb3,random,J0,30,20,20,30,14,13,1
802,sb3,random,J0,30,8,8,30,11,10,1
803,sb3,random,J1,23,30,30,23,16,11,5
804,sb3,random,J0,30,17,17,30,9,7,2
805,sb3,random,J0,30,21,21,30,14,10,4
806,sb3,random,J1,26,30,30,26,15,9,6
807,sb3,random,J0,30,28,28,30,13,11,2
808,sb3,random,J1,25,30,30,25,18,15,3
809,sb3,random,J0,30,22,22,30,14,9,5
810,sb3,random,J1,14,30,30,14,10,8,2
811,sb3,random,J1,21,30,30,21,11,9,2
812,sb3,random,J1,25,30,30,25,17,11,6
813,sb3,random,J1,29,30,30,29,16,12,4
814,sb3,random,J1,18,30,30,18,14,8,6
815,sb3,random,J0,30,20,20,30,14,14,0
816,sb3,random,J1,24,30,30,24,15,11,4
817,sb3,random,J0,30,29,29,30,18,14,4
818,sb3,random,J1,27,30,30,27,13,11,2
819,sb3,random,J1,22,30,30,22,15,11,4
820,sb3,random,J1,25,30,30,25,15,10,5
821,sb3,random,J0,30,29,29,30,21,16,5
822,sb3,random,J0,30,18,18,30,14,12,2
823,sb3,random,J0,30,28,28,30,16,11,5
824,sb3,random,J0,30,21,21,30,12,10,2
825,sb3,random,J1,29,30,30,29,14,11,3
826,sb3,random,J0,30,19,19,30,14,12,2
827,sb3,random,J1,18,30,30,18,11,9,2
828,sb3,random,J1,20,30,30,20,15,11,4
829,sb3,random,J1,18,30,30,18,13,7,6
830,sb3,random,J0,30,21,21,30,15,12,3
831,sb3,random,J0,30,23,23,30,14,12,2
832,sb3,random,J0,30,6,6,30,8,7,1
833,sb3,random,J1,14,30,30,14,10,7,3
834,sb3,random,J0,30,27,27,30,14,10,4
835,sb3,random,J0,30,24,24,30,14,11,3
836,sb3,random,J0,30,3,3,30,2,2,0
837,sb3,random,J0,30,25,25,30,15,13,2
838,sb3,random,J0,30,18,18,30,13,10,3
839,sb3,random,J1,19,30,30,19,13,8,5
840,sb3,random,J1,18,30,30,18,14,11,3
841,sb3,random,J1,24,30,30,24,16,11,5
842,sb3,random,J0,30,20,20,30,16,14,2
843,sb3,random,J1,21,30,30,21,14,9,5
844,sb3,random,J1,26,30,30,26,13,12,1
845,sb3,random,J0,30,29,29,30,17,12,5
846,sb3,random,J1,13,30,30,13,12,7,5
847,sb3,random,J1,17,30,30,17,13,7,6
848,sb3,random,J0,30,27,27,30,16,10,6
849,sb3,random,J1,27,30,30,27,15,11,4
850,sb3,random,J0,30,27,27,30,17,13,4
851,sb3,random,J1,17,30,30,17,13,5,8
852,sb3,random,J1,12,30,30,12,12,8,4
853,sb3,random,J1,14,30,30,14,9,7,2
854,sb3,random,J0,30,26,26,30,16,10,6
855,sb3,random,J0,30,9,9,30,10,10,0
856,sb3,random,J0,30,24,24,30,14,12,2
857,sb3,random,J1,25,30,30,25,13,9,4
858,sb3,random,J1,20,30,30,20,12,8,4
859,sb3,random,J0,30,15,15,30,10,7,3
860,sb3,random,J1,24,30,30,24,16,12,4
861,sb3,random,J1,16,30,30,16,11,8,3
862,sb3,random,J1,29,30,30,29,14,10,4
863,sb3,random,J0,30,21,21,30,14,12,2
864,sb3,random,J0,30,4,4,30,7,7,0
865,sb3,random,J0,30,25,25,30,14,12,2
866,sb3,random,J1,29,30,30,29,16,11,5
867,sb3,random,J1,16,30,30,16,14,8,6
868,sb3,random,J1,24,30,30,24,18,16,2
869,sb3,random,J1,22,30,30,22,16,12,4
870,sb3,random,J0,30,22,22,30,14,12,2
871,sb3,random,J1,15,30,30,15,15,9,6
872,sb3,random,J1,22,30,30,22,13,9,4
873,sb3,random,J0,30,10,10,30,11,9,2
874,sb3,random,J1,26,30,30,26,14,10,4
875,sb3,random,J0,30,29,29,30,15,14,1
876,sb3,random,J1,21,30,30,21,15,10,5
877,sb3,random,J0,30,27,27,30,17,10,7
878,sb3,random,J1,17,30,30,17,13,10,3
879,sb3,random,J0,30,22,22,30,13,10,3
880,sb3,random,J1,27,30,30,27,18,15,3
881,sb3,random,J0,30,0,0,30,0,0,0
882,sb3,random,J1,13,30,30,13,13,9,4
883,sb3,random,J0,30,29,29,30,13,8,5
884,sb3,random,J1,28,30,30,28,19,15,4
885,sb3,random,J0,30,13,13,30,12,12,0
886,sb3,random,J0,30,26,26,30,17,13,4
887,sb3,random,J0,30,24,24,30,19,16,3
888,sb3,random,J0,30,21,21,30,12,9,3
889,sb3,random,J0,30,13,13,30,11,10,1
890,sb3,random,J0,30,27,27,30,17,10,7
891,sb3,random,J1,25,30,30,25,13,10,3
892,sb3,random,J1,20,30,30,20,12,6,6
893,sb3,random,J0,30,29,29,30,18,13,5
894,sb3,random,J0,30,29,29,30,19,16,3
895,sb3,random,J0,30,23,23,30,13,9,4
896,sb3,random,J1,23,30,30,23,17,9,8
897,sb3,random,J0,30,29,29,30,17,11,6
898,sb3,random,J0,30,1,1,30,9,8,1
899,sb3,random,J0,30,18,18,30,11,8,3
900,sb3,random,J1,21,30,30,21,12,8,4
901,sb3,random,J1,18,30,30,18,16,10,6
902,sb3,random,J1,25,30,30,25,13,9,4
903,sb3,random,J0,30,20,20,30,17,12,5
904,sb3,random,J1,8,30,30,8,5,5,0
905,sb3,random,J0,30,22,22,30,14,11,3
906,sb3,random,J1,27,30,30,27,17,11,6
907,sb3,random,J1,11,30,30,11,11,6,5
908,sb3,random,J1,19,30,30,19,17,10,7
909,sb3,random,J0,30,24,24,30,17,14,3
