game,agent_0,agent_1,envido_j0,truco_j0,cartas_j0,abandono_j0,envido_j1,truco_j1,cartas_j1,abandono_j1
1,q_learning,random,8,0,2,12,19,2,4,5
2,q_learning,random,9,4,2,15,12,3,1,3
3,q_learning,random,5,4,1,20,7,2,0,1
4,q_learning,random,10,0,1,12,28,0,1,1
5,q_learning,random,1,0,0,21,26,0,1,3
6,q_learning,random,30,0,0,0,0,0,0,0
7,q_learning,random,15,6,0,9,13,2,1,7
8,q_learning,random,17,4,0,9,3,0,1,4
9,q_learning,random,10,2,4,14,17,4,2,3
10,q_learning,random,4,6,0,20,17,2,2,6
11,q_learning,random,8,4,0,18,14,0,3,2
12,q_learning,random,7,0,0,23,13,0,0,3
13,q_learning,random,0,4,0,26,21,0,0,5
14,q_learning,random,8,6,0,11,12,10,1,7
15,q_learning,random,0,0,1,2,26,0,1,3
16,q_learning,random,5,2,2,21,16,0,4,4
17,q_learning,random,6,2,4,18,4,0,3,2
18,q_learning,random,4,0,1,20,23,2,2,3
19,q_learning,random,13,0,1,16,6,0,0,2
20,q_learning,random,3,5,2,20,18,0,2,7
21,q_learning,random,25,0,0,5,6,0,1,4
22,q_learning,random,9,4,4,13,14,0,1,8
23,q_learning,random,4,2,1,15,26,0,0,4
24,q_learning,random,22,0,0,8,3,0,0,1
25,q_learning,random,26,0,0,4,2,0,0,0
26,q_learning,random,7,0,1,13,25,0,2,3
27,q_learning,random,1,3,1,7,21,0,3,6
28,q_learning,random,9,2,3,16,15,0,0,4
29,q_learning,random,28,0,0,2,1,0,0,1
30,q_learning,random,10,4,0,16,9,0,0,4
31,q_learning,random,1,2,4,17,19,4,2,5
32,q_learning,random,19,2,0,9,11,2,1,2
33,q_learning,random,4,4,2,20,16,2,1,7
34,q_learning,random,4,2,1,23,11,0,0,3
35,q_learning,random,25,0,0,5,2,0,0,0
36,q_learning,random,11,2,0,13,24,0,2,4
37,q_learning,random,7,2,2,19,8,0,1,6
38,q_learning,random,4,9,2,15,14,2,2,6
39,q_learning,random,5,4,1,20,9,0,1,2
40,q_learning,random,9,4,2,15,13,0,3,7
41,q_learning,random,5,2,1,22,8,0,2,10
42,q_learning,random,7,2,1,20,16,0,3,7
43,q_learning,random,0,2,0,2,29,0,0,1
44,q_learning,random,27,0,1,2,0,0,0,2
45,q_learning,random,12,8,1,9,7,2,5,4
46,q_learning,random,6,0,0,8,27,0,0,3
47,q_learning,random,18,0,2,10,11,0,3,2
48,q_learning,random,6,10,1,13,11,0,2,5
49,q_learning,random,8,7,4,11,15,0,1,7
50,q_learning,random,6,2,2,12,17,8,0,5
51,q_learning,random,14,4,0,12,13,0,0,9
52,q_learning,random,8,2,3,17,17,7,1,4
53,q_learning,random,11,0,2,9,20,5,3,2
54,q_learning,random,10,8,0,12,11,0,0,7
55,q_learning,random,7,0,0,7,20,0,1,9
56,q_learning,random,5,6,1,11,18,2,1,9
57,q_learning,random,19,0,0,11,6,2,3,4
58,q_learning,random,16,2,0,12,4,0,0,1
59,q_learning,random,15,2,0,13,5,0,0,3
60,q_learning,random,9,4,0,17,25,0,3,1
61,q_learning,random,11,6,3,10,13,2,3,8
62,q_learning,random,24,0,2,4,5,0,2,3
63,q_learning,random,3,4,1,22,22,0,1,3
64,q_learning,random,8,2,0,20,12,0,1,5
65,q_learning,random,19,0,3,8,9,2,1,7
66,q_learning,random,6,6,2,16,13,4,2,4
67,q_learning,random,9,5,1,8,28,0,1,1
68,q_learning,random,24,0,0,6,7,2,1,0
69,q_learning,random,8,0,3,17,18,0,2,10
70,q_learning,random,8,12,0,10,12,0,4,7
71,q_learning,random,0,2,3,6,26,0,0,4
72,q_learning,random,22,0,1,7,4,0,1,1
73,q_learning,random,27,0,0,3,1,0,0,1
74,q_learning,random,14,4,2,10,1,0,1,2
75,q_learning,random,8,4,0,18,6,3,0,6
76,q_learning,random,25,0,1,4,1,0,0,1
77,q_learning,random,14,2,1,13,13,0,2,12
78,q_learning,random,6,8,0,14,17,6,2,5
79,q_learning,random,8,0,0,10,20,0,1,9
80,q_learning,random,9,0,1,20,10,2,0,2
81,q_learning,random,5,0,1,23,18,2,3,7
82,q_learning,random,7,0,1,22,22,0,1,2
83,q_learning,random,0,0,0,0,29,0,0,1
84,q_learning,random,14,2,1,13,15,3,2,6
85,q_learning,random,7,2,1,20,8,0,1,4
86,q_learning,random,3,0,0,14,19,3,2,6
87,q_learning,random,15,0,0,15,11,0,3,2
88,q_learning,random,12,4,1,13,7,4,1,4
89,q_learning,random,2,2,0,8,29,0,1,0
90,q_learning,random,27,0,0,3,4,2,1,4
91,q_learning,random,0,6,0,16,27,0,0,3
92,q_learning,random,13,0,2,15,13,0,2,3
93,q_learning,random,6,6,1,17,11,4,2,4
94,q_learning,random,19,4,1,6,6,3,1,5
95,q_learning,random,3,3,2,22,14,0,2,7
96,q_learning,random,0,0,0,0,28,0,0,2
97,q_learning,random,9,6,1,14,7,0,2,6
98,q_learning,random,0,0,0,0,30,0,0,0
99,q_learning,random,7,2,0,7,17,0,5,8
100,q_learning,random,9,2,2,17,13,2,0,5
