game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
780,q_learning,sb3,J1,23,30,30,23,20,9,11
781,q_learning,sb3,J1,27,30,30,27,20,10,10
782,q_learning,sb3,J0,30,19,19,30,20,17,3
783,q_learning,sb3,J1,19,30,30,19,16,5,11
784,q_learning,sb3,J1,18,30,30,18,17,10,7
785,q_learning,sb3,J1,24,30,30,24,23,15,8
786,q_learning,sb3,J0,30,27,27,30,18,12,6
787,q_learning,sb3,J1,28,30,30,28,19,11,8
788,q_learning,sb3,J0,30,25,25,30,21,16,5
789,q_learning,sb3,J0,30,27,27,30,17,11,6
790,q_learning,sb3,J1,18,30,30,18,17,9,8
791,q_learning,sb3,J1,27,30,30,27,20,14,6
792,q_learning,sb3,J1,22,30,30,22,19,10,9
793,q_learning,sb3,J0,30,28,28,30,21,14,7
794,q_learning,sb3,J0,30,28,28,30,18,8,10
795,q_learning,sb3,J1,16,30,30,16,18,7,11
796,q_learning,sb3,J1,10,30,30,10,12,4,8
797,q_learning,sb3,J1,20,30,30,20,20,10,10
798,q_learning,sb3,J1,10,30,30,10,14,6,8
799,q_learning,sb3,J0,30,26,26,30,21,12,9
800,q_learning,sb3,J0,30,23,23,30,21,14,7
801,q_learning,sb3,J1,24,30,30,24,18,11,7
802,q_learning,sb3,J0,30,29,29,30,18,12,6
803,q_learning,sb3,J1,28,30,30,28,20,13,7
804,q_learning,sb3,J1,24,30,30,24,17,10,7
805,q_learning,sb3,J1,26,30,30,26,20,10,10
806,q_learning,sb3,J1,28,30,30,28,18,9,9
807,q_learning,sb3,J0,30,26,26,30,21,13,8
808,q_learning,sb3,J0,30,26,26,30,21,13,8
809,q_learning,sb3,J0,30,29,29,30,23,17,6
810,q_learning,sb3,J0,30,26,26,30,19,9,10
811,q_learning,sb3,J1,22,30,30,22,21,13,8
812,q_learning,sb3,J1,21,30,30,21,17,5,12
813,q_learning,sb3,J1,22,30,30,22,17,7,10
814,q_learning,sb3,J1,23,30,30,23,17,7,10
815,q_learning,sb3,J1,16,30,30,16,17,7,10
816,q_learning,sb3,J1,25,30,30,25,18,10,8
817,q_learning,sb3,J0,30,24,24,30,22,14,8
818,q_learning,sb3,J1,16,30,30,16,16,8,8
819,q_learning,sb3,J0,30,29,29,30,19,9,10
820,q_learning,sb3,J1,21,30,30,21,18,9,9
821,q_learning,sb3,J0,30,27,27,30,21,12,9
822,q_learning,sb3,J1,10,30,30,10,13,5,8
823,q_learning,sb3,J0,30,27,27,30,19,8,11
824,q_learning,sb3,J1,27,30,30,27,19,9,10
825,q_learning,sb3,J1,29,30,30,29,21,12,9
826,q_learning,sb3,J0,30,24,24,30,19,11,8
827,q_learning,sb3,J0,30,29,29,30,23,11,12
828,q_learning,sb3,J1,24,30,30,24,19,12,7
829,q_learning,sb3,J0,30,28,28,30,18,10,8
830,q_learning,sb3,J1,25,30,30,25,16,7,9
831,q_learning,sb3,J1,16,30,30,16,16,10,6
832,q_learning,sb3,J1,19,30,30,19,15,7,8
833,q_learning,sb3,J1,23,30,30,23,18,11,7
834,q_learning,sb3,J1,26,30,30,26,19,12,7
835,q_learning,sb3,J1,17,30,30,17,17,9,8
836,q_learning,sb3,J1,16,30,30,16,19,10,9
837,q_learning,sb3,J0,30,18,18,30,17,13,4
838,q_learning,sb3,J1,16,30,30,16,17,8,9
839,q_learning,sb3,J1,21,30,30,21,17,8,9
840,q_learning,sb3,J0,30,25,25,30,19,12,7
841,q_learning,sb3,J0,30,24,24,30,19,10,9
842,q_learning,sb3,J1,19,30,30,19,19,8,11
843,q_learning,sb3,J1,22,30,30,22,17,9,8
844,q_learning,sb3,J0,30,22,22,30,19,14,5
845,q_learning,sb3,J1,23,30,30,23,16,8,8
846,q_learning,sb3,J1,24,30,30,24,20,13,7
847,q_learning,sb3,J1,16,30,30,16,16,8,8
848,q_learning,sb3,J0,30,27,27,30,19,9,10
849,q_learning,sb3,J0,30,28,28,30,20,10,10
850,q_learning,sb3,J1,22,30,30,22,20,10,10
851,q_learning,sb3,J1,13,30,30,13,15,6,9
