game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
269,sb3,rational,J1,20,30,30,20,15,8,7
270,sb3,rational,J1,23,30,30,23,20,8,12
271,sb3,rational,J1,28,30,30,28,20,12,8
272,sb3,rational,J0,30,27,27,30,22,9,13
273,sb3,rational,J1,16,30,30,16,15,4,11
274,sb3,rational,J0,30,28,28,30,22,8,14
275,sb3,rational,J0,30,27,27,30,18,7,11
276,sb3,rational,J1,21,30,30,21,19,6,13
277,sb3,rational,J0,30,26,26,30,22,7,15
278,sb3,rational,J0,30,16,16,30,18,9,9
279,sb3,rational,J1,28,30,30,28,22,11,11
280,sb3,rational,J0,30,17,17,30,18,11,7
281,sb3,rational,J1,21,30,30,21,19,5,14
282,sb3,rational,J1,29,30,30,29,22,11,11
283,sb3,rational,J1,26,30,30,26,21,8,13
284,sb3,rational,J0,30,24,24,30,18,11,7
285,sb3,rational,J0,30,23,23,30,21,9,12
286,sb3,rational,J1,17,30,30,17,14,6,8
287,sb3,rational,J1,28,30,30,28,22,10,12
288,sb3,rational,J1,22,30,30,22,17,9,8
289,sb3,rational,J0,30,27,27,30,22,11,11
290,sb3,rational,J0,30,27,27,30,21,11,10
291,sb3,rational,J1,27,30,30,27,22,10,12
292,sb3,rational,J0,30,26,26,30,20,10,10
293,sb3,rational,J0,30,26,26,30,18,11,7
294,sb3,rational,J0,30,18,18,30,17,9,8
295,sb3,rational,J0,30,26,26,30,21,10,11
296,sb3,rational,J0,30,17,17,30,16,11,5
297,sb3,rational,J0,30,29,29,30,22,14,8
298,sb3,rational,J1,29,30,30,29,19,8,11
299,sb3,rational,J0,30,24,24,30,19,10,9
300,sb3,rational,J1,27,30,30,27,23,10,13
301,sb3,rational,J1,28,30,30,28,23,10,13
302,sb3,rational,J0,30,24,24,30,21,12,9
303,sb3,rational,J1,12,30,30,12,15,6,9
304,sb3,rational,J0,30,29,29,30,22,13,9
305,sb3,rational,J1,28,30,30,28,20,8,12
306,sb3,rational,J0,30,21,21,30,19,12,7
307,sb3,rational,J0,30,29,29,30,20,12,8
308,sb3,rational,J1,21,30,30,21,17,5,12
309,sb3,rational,J0,30,20,20,30,18,9,9
310,sb3,rational,J0,30,24,24,30,13,9,4
311,sb3,rational,J0,30,26,26,30,19,10,9
312,sb3,rational,J1,23,30,30,23,18,11,7
313,sb3,rational,J1,25,30,30,25,21,11,10
314,sb3,rational,J0,30,29,29,30,21,10,11
315,sb3,rational,J0,30,21,21,30,18,9,9
316,sb3,rational,J0,30,28,28,30,20,12,8
317,sb3,rational,J0,30,29,29,30,20,11,9
318,sb3,rational,J1,18,30,30,18,16,6,10
319,sb3,rational,J0,30,26,26,30,20,9,11
320,sb3,rational,J1,28,30,30,28,21,10,11
321,sb3,rational,J1,18,30,30,18,15,5,10
322,sb3,rational,J0,30,23,23,30,20,10,10
323,sb3,rational,J1,21,30,30,21,19,7,12
324,sb3,rational,J0,30,20,20,30,19,11,8
325,sb3,rational,J1,25,30,30,25,18,8,10
326,sb3,rational,J1,19,30,30,19,15,5,10
327,sb3,rational,J1,9,30,30,9,8,3,5
328,sb3,rational,J0,30,25,25,30,20,8,12
329,sb3,rational,J1,24,30,30,24,20,7,13
330,sb3,rational,J1,17,30,30,17,15,8,7
331,sb3,rational,J1,14,30,30,14,13,6,7
332,sb3,rational,J0,30,29,29,30,20,7,13
333,sb3,rational,J0,30,24,24,30,21,9,12
334,sb3,rational,J0,30,9,9,30,15,13,2
335,sb3,rational,J0,30,23,23,30,17,8,9
336,sb3,rational,J0,30,18,18,30,18,11,7
337,sb3,rational,J0,30,29,29,30,21,9,12
338,sb3,rational,J0,30,27,27,30,21,11,10
339,sb3,rational,J1,28,30,30,28,20,12,8
340,sb3,rational,J1,17,30,30,17,16,7,9
341,sb3,rational,J0,30,21,21,30,19,10,9
342,sb3,rational,J1,24,30,30,24,18,6,12
343,sb3,rational,J0,30,24,24,30,20,10,10
344,sb3,rational,J0,30,27,27,30,21,11,10
345,sb3,rational,J1,22,30,30,22,18,7,11
346,sb3,rational,J0,30,29,29,30,20,10,10
347,sb3,rational,J1,23,30,30,23,18,10,8
348,sb3,rational,J0,30,25,25,30,20,13,7
349,sb3,rational,J0,30,27,27,30,20,9,11
350,sb3,rational,J0,30,19,19,30,19,11,8
351,sb3,rational,J0,30,23,23,30,16,10,6
352,sb3,rational,J0,30,26,26,30,22,11,11
