game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,8,2,6
2,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,5,1,4
3,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
4,sb3_league,sb3_league,N/A,N/A,J1,28,30,30,28,13,3,10
5,sb3_league,sb3_league,N/A,N/A,J1,19,30,30,19,6,4,2
6,sb3_league,sb3_league,N/A,N/A,J1,1,30,30,1,2,0,2
7,sb3_league,sb3_league,N/A,N/A,J0,30,1,1,30,2,2,0
8,sb3_league,sb3_league,N/A,N/A,J1,4,30,30,4,3,2,1
9,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
10,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,1,1,0
11,sb3_league,sb3_league,N/A,N/A,J1,10,30,30,10,5,1,4
12,sb3_league,sb3_league,N/A,N/A,J1,10,30,30,10,7,5,2
13,sb3_league,sb3_league,N/A,N/A,J1,7,30,30,7,4,2,2
14,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
15,sb3_league,sb3_league,N/A,N/A,J1,3,30,30,3,2,0,2
16,sb3_league,sb3_league,N/A,N/A,J1,3,30,30,3,5,0,5
17,sb3_league,sb3_league,N/A,N/A,J1,3,30,30,3,3,0,3
18,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,6,3,3
19,sb3_league,sb3_league,N/A,N/A,J1,4,30,30,4,2,1,1
20,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,8,5,3
21,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,1,1,0
22,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,6,4,2
23,sb3_league,sb3_league,N/A,N/A,J1,12,30,30,12,9,1,8
24,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
25,sb3_league,sb3_league,N/A,N/A,J1,9,30,30,9,6,3,3
26,sb3_league,sb3_league,N/A,N/A,J0,30,11,11,30,5,1,4
27,sb3_league,sb3_league,N/A,N/A,J0,30,21,21,30,15,8,7
28,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
29,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,2,0,2
30,sb3_league,sb3_league,N/A,N/A,J1,8,30,30,8,7,2,5
31,sb3_league,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
32,sb3_league,sb3_league,N/A,N/A,J1,27,30,30,27,10,3,7
33,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,1,0,1
34,sb3_league,sb3_league,N/A,N/A,J1,3,30,30,3,4,0,4
35,sb3_league,sb3_league,N/A,N/A,J1,5,30,30,5,3,1,2
36,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
37,sb3_league,sb3_league,N/A,N/A,J1,4,30,30,4,3,0,3
38,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,1,1,0
39,sb3_league,sb3_league,N/A,N/A,J0,30,24,24,30,6,6,0
40,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,4,2,2
41,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,4,1,3
42,sb3_league,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
43,sb3_league,sb3_league,N/A,N/A,J0,30,1,1,30,2,1,1
44,sb3_league,sb3_league,N/A,N/A,J1,1,30,30,1,1,0,1
45,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
46,sb3_league,sb3_league,N/A,N/A,J1,7,30,30,7,5,2,3
47,sb3_league,sb3_league,N/A,N/A,J0,30,11,11,30,6,2,4
48,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,4,0,4
49,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,10,4,6
50,sb3_league,sb3_league,N/A,N/A,J1,4,30,30,4,5,0,5
51,sb3_league,sb3_league,N/A,N/A,J0,30,3,3,30,5,4,1
52,sb3_league,sb3_league,N/A,N/A,J1,13,30,30,13,11,4,7
53,sb3_league,sb3_league,N/A,N/A,J1,3,30,30,3,3,0,3
54,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,2,1,1
55,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,3,1,2
56,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,4,2,2
57,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
58,sb3_league,sb3_league,N/A,N/A,J1,11,30,30,11,6,2,4
59,sb3_league,sb3_league,N/A,N/A,J1,5,30,30,5,4,1,3
60,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,1,0,1
61,sb3_league,sb3_league,N/A,N/A,J1,3,30,30,3,3,1,2
62,sb3_league,sb3_league,N/A,N/A,J0,30,3,3,30,3,3,0
63,sb3_league,sb3_league,N/A,N/A,J1,5,30,30,5,3,1,2
64,sb3_league,sb3_league,N/A,N/A,J1,6,30,30,6,6,0,6
65,sb3_league,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
66,sb3_league,sb3_league,N/A,N/A,J0,30,25,25,30,8,6,2
67,sb3_league,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
68,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,4,2,2
69,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,5,4,1
70,sb3_league,sb3_league,N/A,N/A,J1,8,30,30,8,8,2,6
71,sb3_league,sb3_league,N/A,N/A,J1,17,30,30,17,10,4,6
72,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,9,5,4
73,sb3_league,sb3_league,N/A,N/A,J1,14,30,30,14,7,5,2
74,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,0,0,0
75,sb3_league,sb3_league,N/A,N/A,J1,4,30,30,4,3,2,1
76,sb3_league,sb3_league,N/A,N/A,J0,30,9,9,30,4,1,3
77,sb3_league,sb3_league,N/A,N/A,J0,30,22,22,30,12,5,7
78,sb3_league,sb3_league,N/A,N/A,J0,30,3,3,30,4,4,0
79,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,4,2,2
