game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
643,sb3,q_learning,J1,20,30,30,20,15,6,9
644,sb3,q_learning,J0,30,16,16,30,15,7,8
645,sb3,q_learning,J0,30,29,29,30,20,9,11
646,sb3,q_learning,J1,24,30,30,24,17,8,9
647,sb3,q_learning,J1,22,30,30,22,16,6,10
648,sb3,q_learning,J0,30,20,20,30,19,7,12
649,sb3,q_learning,J0,30,20,20,30,16,8,8
650,sb3,q_learning,J0,30,26,26,30,17,10,7
651,sb3,q_learning,J0,30,22,22,30,16,11,5
652,sb3,q_learning,J0,30,28,28,30,19,8,11
653,sb3,q_learning,J0,30,12,12,30,14,12,2
654,sb3,q_learning,J0,30,19,19,30,17,10,7
655,sb3,q_learning,J1,22,30,30,22,18,5,13
656,sb3,q_learning,J0,30,10,10,30,15,11,4
657,sb3,q_learning,J1,29,30,30,29,19,11,8
658,sb3,q_learning,J1,29,30,30,29,21,10,11
659,sb3,q_learning,J0,30,18,18,30,15,10,5
660,sb3,q_learning,J1,28,30,30,28,18,9,9
661,sb3,q_learning,J1,20,30,30,20,16,7,9
662,sb3,q_learning,J1,17,30,30,17,14,4,10
663,sb3,q_learning,J1,25,30,30,25,18,7,11
664,sb3,q_learning,J1,19,30,30,19,17,8,9
665,sb3,q_learning,J0,30,17,17,30,16,9,7
666,sb3,q_learning,J0,30,20,20,30,19,12,7
667,sb3,q_learning,J1,28,30,30,28,22,13,9
668,sb3,q_learning,J1,29,30,30,29,20,11,9
669,sb3,q_learning,J0,30,17,17,30,16,9,7
670,sb3,q_learning,J1,18,30,30,18,14,5,9
671,sb3,q_learning,J1,17,30,30,17,13,5,8
672,sb3,q_learning,J0,30,20,20,30,16,9,7
673,sb3,q_learning,J1,13,30,30,13,14,8,6
674,sb3,q_learning,J0,30,19,19,30,18,11,7
675,sb3,q_learning,J1,20,30,30,20,14,5,9
676,sb3,q_learning,J1,26,30,30,26,18,11,7
677,sb3,q_learning,J0,30,11,11,30,13,10,3
678,sb3,q_learning,J0,30,21,21,30,18,10,8
679,sb3,q_learning,J1,19,30,30,19,15,5,10
680,sb3,q_learning,J0,30,27,27,30,22,11,11
681,sb3,q_learning,J1,28,30,30,28,18,11,7
682,sb3,q_learning,J0,30,26,26,30,19,11,8
683,sb3,q_learning,J0,30,26,26,30,16,8,8
684,sb3,q_learning,J0,30,17,17,30,19,10,9
685,sb3,q_learning,J1,26,30,30,26,18,10,8
686,sb3,q_learning,J1,17,30,30,17,16,7,9
687,sb3,q_learning,J0,30,8,8,30,11,7,4
688,sb3,q_learning,J0,30,25,25,30,13,9,4
689,sb3,q_learning,J0,30,24,24,30,19,10,9
690,sb3,q_learning,J0,30,9,9,30,14,11,3
691,sb3,q_learning,J0,30,24,24,30,17,10,7
692,sb3,q_learning,J0,30,29,29,30,20,11,9
693,sb3,q_learning,J1,27,30,30,27,20,9,11
694,sb3,q_learning,J0,30,14,14,30,12,7,5
695,sb3,q_learning,J0,30,20,20,30,18,10,8
696,sb3,q_learning,J1,29,30,30,29,18,10,8
697,sb3,q_learning,J1,27,30,30,27,18,11,7
698,sb3,q_learning,J0,30,23,23,30,15,8,7
699,sb3,q_learning,J1,26,30,30,26,19,10,9
700,sb3,q_learning,J0,30,16,16,30,17,10,7
701,sb3,q_learning,J1,12,30,30,12,13,4,9
702,sb3,q_learning,J0,30,6,6,30,11,9,2
703,sb3,q_learning,J0,30,20,20,30,17,10,7
704,sb3,q_learning,J0,30,24,24,30,16,8,8
705,sb3,q_learning,J1,22,30,30,22,18,10,8
706,sb3,q_learning,J0,30,19,19,30,15,10,5
707,sb3,q_learning,J1,17,30,30,17,15,5,10
708,sb3,q_learning,J0,30,15,15,30,12,10,2
709,sb3,q_learning,J0,30,22,22,30,17,11,6
710,sb3,q_learning,J0,30,20,20,30,16,11,5
711,sb3,q_learning,J1,27,30,30,27,19,10,9
712,sb3,q_learning,J1,10,30,30,10,12,3,9
713,sb3,q_learning,J0,30,5,5,30,11,9,2
714,sb3,q_learning,J1,27,30,30,27,17,6,11
715,sb3,q_learning,J0,30,19,19,30,20,11,9
716,sb3,q_learning,J0,30,24,24,30,17,10,7
717,sb3,q_learning,J0,30,23,23,30,18,10,8
718,sb3,q_learning,J1,24,30,30,24,15,10,5
719,sb3,q_learning,J1,25,30,30,25,15,8,7
720,sb3,q_learning,J0,30,24,24,30,18,10,8
721,sb3,q_learning,J0,30,16,16,30,17,10,7
722,sb3,q_learning,J1,25,30,30,25,20,9,11
723,sb3,q_learning,J1,27,30,30,27,20,9,11
724,sb3,q_learning,J1,17,30,30,17,15,7,8
725,sb3,q_learning,J1,20,30,30,20,17,8,9
726,sb3,q_learning,J0,30,23,23,30,15,11,4
727,sb3,q_learning,J1,18,30,30,18,16,7,9
728,sb3,q_learning,J0,30,15,15,30,16,11,5
729,sb3,q_learning,J0,30,18,18,30,16,11,5
730,sb3,q_learning,J0,30,2,2,30,10,8,2
731,sb3,q_learning,J0,30,23,23,30,16,13,3
732,sb3,q_learning,J0,30,22,22,30,20,13,7
733,sb3,q_learning,J1,25,30,30,25,17,8,9
734,sb3,q_learning,J0,30,15,15,30,13,8,5
735,sb3,q_learning,J1,29,30,30,29,20,10,10
736,sb3,q_learning,J0,30,24,24,30,19,10,9
737,sb3,q_learning,J0,30,27,27,30,21,10,11
738,sb3,q_learning,J1,21,30,30,21,16,7,9
739,sb3,q_learning,J0,30,24,24,30,18,11,7
740,sb3,q_learning,J0,30,26,26,30,16,12,4
741,sb3,q_learning,J0,30,25,25,30,20,10,10
742,sb3,q_learning,J1,28,30,30,28,22,11,11
743,sb3,q_learning,J0,30,22,22,30,17,11,6
744,sb3,q_learning,J1,28,30,30,28,21,11,10
745,sb3,q_learning,J0,30,9,9,30,13,9,4
746,sb3,q_learning,J1,24,30,30,24,15,8,7
747,sb3,q_learning,J1,25,30,30,25,16,10,6
