game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
497,random,sb3,J1,3,30,30,3,10,0,10
498,random,sb3,J1,7,30,30,7,7,1,6
499,random,sb3,J1,21,30,30,21,11,2,9
500,random,sb3,J1,20,30,30,20,14,1,13
501,random,sb3,J1,10,30,30,10,13,2,11
502,random,sb3,J1,13,30,30,13,14,2,12
503,random,sb3,J0,30,14,14,30,10,1,9
504,random,sb3,J1,26,30,30,26,17,7,10
505,random,sb3,J1,16,30,30,16,14,2,12
506,random,sb3,J1,8,30,30,8,13,1,12
507,random,sb3,J1,9,30,30,9,11,0,11
508,random,sb3,J1,14,30,30,14,13,2,11
509,random,sb3,J1,18,30,30,18,14,1,13
510,random,sb3,J1,11,30,30,11,13,1,12
511,random,sb3,J1,12,30,30,12,16,2,14
512,random,sb3,J1,3,30,30,3,4,0,4
513,random,sb3,J1,2,30,30,2,9,0,9
514,random,sb3,J1,13,30,30,13,15,3,12
515,random,sb3,J1,15,30,30,15,16,2,14
516,random,sb3,J1,3,30,30,3,8,2,6
517,random,sb3,J1,6,30,30,6,5,1,4
518,random,sb3,J0,30,10,10,30,10,3,7
519,random,sb3,J1,5,30,30,5,12,1,11
520,random,sb3,J1,9,30,30,9,15,1,14
521,random,sb3,J1,11,30,30,11,8,1,7
522,random,sb3,J1,11,30,30,11,18,1,17
523,random,sb3,J0,30,22,22,30,13,1,12
524,random,sb3,J1,10,30,30,10,17,3,14
525,random,sb3,J1,10,30,30,10,13,1,12
526,random,sb3,J1,6,30,30,6,5,1,4
527,random,sb3,J1,14,30,30,14,14,3,11
528,random,sb3,J1,20,30,30,20,10,4,6
529,random,sb3,J1,5,30,30,5,11,0,11
530,random,sb3,J1,13,30,30,13,11,2,9
531,random,sb3,J0,30,21,21,30,10,1,9
532,random,sb3,J1,28,30,30,28,19,4,15
533,random,sb3,J1,9,30,30,9,10,2,8
534,random,sb3,J1,5,30,30,5,11,0,11
535,random,sb3,J1,23,30,30,23,9,0,9
536,random,sb3,J1,3,30,30,3,14,1,13
537,random,sb3,J1,5,30,30,5,8,1,7
538,random,sb3,J0,30,21,21,30,9,1,8
539,random,sb3,J1,5,30,30,5,9,2,7
540,random,sb3,J1,6,30,30,6,8,1,7
541,random,sb3,J0,30,27,27,30,14,4,10
542,random,sb3,J1,5,30,30,5,10,2,8
543,random,sb3,J1,22,30,30,22,14,2,12
544,random,sb3,J1,13,30,30,13,11,1,10
545,random,sb3,J0,30,12,12,30,8,4,4
546,random,sb3,J1,2,30,30,2,10,0,10
547,random,sb3,J1,5,30,30,5,10,1,9
548,random,sb3,J1,13,30,30,13,15,2,13
549,random,sb3,J1,2,30,30,2,4,0,4
550,random,sb3,J1,8,30,30,8,12,2,10
551,random,sb3,J1,16,30,30,16,11,3,8
552,random,sb3,J1,15,30,30,15,19,5,14
553,random,sb3,J1,7,30,30,7,11,0,11
554,random,sb3,J0,30,14,14,30,7,0,7
555,random,sb3,J1,22,30,30,22,9,3,6
556,random,sb3,J1,20,30,30,20,17,4,13
557,random,sb3,J0,30,0,0,30,2,2,0
558,random,sb3,J1,19,30,30,19,14,1,13
559,random,sb3,J1,7,30,30,7,10,1,9
560,random,sb3,J1,6,30,30,6,7,0,7
561,random,sb3,J1,11,30,30,11,13,3,10
562,random,sb3,J1,27,30,30,27,18,4,14
563,random,sb3,J1,6,30,30,6,11,0,11
564,random,sb3,J1,7,30,30,7,13,1,12
565,random,sb3,J1,28,30,30,28,12,2,10
566,random,sb3,J1,18,30,30,18,12,1,11
567,random,sb3,J1,9,30,30,9,12,1,11
568,random,sb3,J0,30,17,17,30,10,2,8
569,random,sb3,J1,5,30,30,5,6,0,6
570,random,sb3,J1,13,30,30,13,9,1,8
571,random,sb3,J1,16,30,30,16,14,1,13
572,random,sb3,J1,8,30,30,8,19,3,16
573,random,sb3,J1,7,30,30,7,9,1,8
574,random,sb3,J1,28,30,30,28,13,2,11
575,random,sb3,J1,7,30,30,7,11,0,11
576,random,sb3,J1,16,30,30,16,13,0,13
577,random,sb3,J1,9,30,30,9,11,0,11
578,random,sb3,J1,8,30,30,8,13,2,11
579,random,sb3,J1,4,30,30,4,10,0,10
580,random,sb3,J1,19,30,30,19,14,1,13
581,random,sb3,J1,7,30,30,7,12,1,11
582,random,sb3,J1,2,30,30,2,5,0,5
583,random,sb3,J1,2,30,30,2,5,0,5
584,random,sb3,J1,9,30,30,9,15,0,15
585,random,sb3,J1,11,30,30,11,12,2,10
586,random,sb3,J1,3,30,30,3,4,0,4
587,random,sb3,J1,4,30,30,4,9,0,9
588,random,sb3,J1,6,30,30,6,11,1,10
589,random,sb3,J1,12,30,30,12,11,3,8
590,random,sb3,J1,17,30,30,17,8,3,5
