game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,10,1,9
2,sb3_league,sb3_league,N/A,N/A,J0,30,28,28,30,18,9,9
3,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,8,6,2
4,sb3_league,sb3_league,N/A,N/A,J0,30,13,13,30,9,3,6
5,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,9,5,4
6,sb3_league,sb3_league,N/A,N/A,J1,11,30,30,11,7,2,5
7,sb3_league,sb3_league,N/A,N/A,J0,30,13,13,30,8,5,3
8,sb3_league,sb3_league,N/A,N/A,J1,14,30,30,14,6,1,5
9,sb3_league,sb3_league,N/A,N/A,J1,10,30,30,10,3,2,1
10,sb3_league,sb3_league,N/A,N/A,J1,11,30,30,11,7,3,4
11,sb3_league,sb3_league,N/A,N/A,J0,30,26,26,30,12,2,10
12,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,7,3,4
13,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,14,9,5
14,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,4,2,2
15,sb3_league,sb3_league,N/A,N/A,J0,30,4,4,30,5,3,2
16,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,14,3,11
17,sb3_league,sb3_league,N/A,N/A,J0,30,22,22,30,9,5,4
18,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,6,1,5
19,sb3_league,sb3_league,N/A,N/A,J0,30,15,15,30,8,4,4
20,sb3_league,sb3_league,N/A,N/A,J1,11,30,30,11,5,3,2
21,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,8,3,5
22,sb3_league,sb3_league,N/A,N/A,J0,30,3,3,30,3,2,1
23,sb3_league,sb3_league,N/A,N/A,J1,16,30,30,16,10,2,8
24,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,4,1,3
25,sb3_league,sb3_league,N/A,N/A,J0,30,19,19,30,10,2,8
26,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,7,5,2
27,sb3_league,sb3_league,N/A,N/A,J0,30,12,12,30,6,3,3
28,sb3_league,sb3_league,N/A,N/A,J1,17,30,30,17,10,4,6
29,sb3_league,sb3_league,N/A,N/A,J1,12,30,30,12,8,4,4
30,sb3_league,sb3_league,N/A,N/A,J1,27,30,30,27,13,8,5
31,sb3_league,sb3_league,N/A,N/A,J0,30,14,14,30,8,4,4
32,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,6,2,4
