game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
699,random,sb3_league,N/A,N/A,J1,6,30,30,6,3,1,2
700,random,sb3_league,N/A,N/A,J1,19,30,30,19,11,1,10
701,random,sb3_league,N/A,N/A,J1,5,30,30,5,9,1,8
702,random,sb3_league,N/A,N/A,J1,10,30,30,10,14,2,12
703,random,sb3_league,N/A,N/A,J1,5,30,30,5,12,0,12
704,random,sb3_league,N/A,N/A,J1,13,30,30,13,15,1,14
705,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
706,random,sb3_league,N/A,N/A,J1,10,30,30,10,15,1,14
707,random,sb3_league,N/A,N/A,J1,4,30,30,4,10,0,10
708,random,sb3_league,N/A,N/A,J1,10,30,30,10,14,0,14
709,random,sb3_league,N/A,N/A,J1,3,30,30,3,11,0,11
710,random,sb3_league,N/A,N/A,J1,6,30,30,6,12,1,11
711,random,sb3_league,N/A,N/A,J1,5,30,30,5,11,0,11
712,random,sb3_league,N/A,N/A,J1,10,30,30,10,13,1,12
713,random,sb3_league,N/A,N/A,J1,7,30,30,7,9,1,8
714,random,sb3_league,N/A,N/A,J1,7,30,30,7,13,0,13
715,random,sb3_league,N/A,N/A,J1,16,30,30,16,14,3,11
716,random,sb3_league,N/A,N/A,J1,14,30,30,14,17,2,15
717,random,sb3_league,N/A,N/A,J1,14,30,30,14,8,1,7
718,random,sb3_league,N/A,N/A,J1,13,30,30,13,9,2,7
719,random,sb3_league,N/A,N/A,J1,1,30,30,1,6,0,6
720,random,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
721,random,sb3_league,N/A,N/A,J1,4,30,30,4,9,0,9
722,random,sb3_league,N/A,N/A,J1,7,30,30,7,14,1,13
723,random,sb3_league,N/A,N/A,J1,10,30,30,10,12,1,11
724,random,sb3_league,N/A,N/A,J1,3,30,30,3,9,0,9
725,random,sb3_league,N/A,N/A,J1,18,30,30,18,15,1,14
726,random,sb3_league,N/A,N/A,J1,17,30,30,17,15,1,14
727,random,sb3_league,N/A,N/A,J1,3,30,30,3,8,0,8
728,random,sb3_league,N/A,N/A,J1,9,30,30,9,14,1,13
729,random,sb3_league,N/A,N/A,J1,16,30,30,16,8,3,5
730,random,sb3_league,N/A,N/A,J0,30,25,25,30,15,1,14
731,random,sb3_league,N/A,N/A,J1,12,30,30,12,14,1,13
732,random,sb3_league,N/A,N/A,J1,8,30,30,8,10,0,10
733,random,sb3_league,N/A,N/A,J1,26,30,30,26,12,3,9
734,random,sb3_league,N/A,N/A,J1,6,30,30,6,8,0,8
735,random,sb3_league,N/A,N/A,J1,4,30,30,4,10,1,9
736,random,sb3_league,N/A,N/A,J1,6,30,30,6,11,1,10
737,random,sb3_league,N/A,N/A,J1,18,30,30,18,14,3,11
738,random,sb3_league,N/A,N/A,J1,11,30,30,11,14,1,13
739,random,sb3_league,N/A,N/A,J1,8,30,30,8,13,1,12
740,random,sb3_league,N/A,N/A,J1,4,30,30,4,11,1,10
741,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
742,random,sb3_league,N/A,N/A,J0,30,28,28,30,13,2,11
743,random,sb3_league,N/A,N/A,J1,11,30,30,11,11,1,10
744,random,sb3_league,N/A,N/A,J1,13,30,30,13,14,2,12
745,random,sb3_league,N/A,N/A,J1,10,30,30,10,10,3,7
746,random,sb3_league,N/A,N/A,J1,10,30,30,10,5,2,3
747,random,sb3_league,N/A,N/A,J1,16,30,30,16,12,4,8
748,random,sb3_league,N/A,N/A,J1,2,30,30,2,9,0,9
749,random,sb3_league,N/A,N/A,J0,30,2,2,30,1,0,1
750,random,sb3_league,N/A,N/A,J1,3,30,30,3,8,0,8
751,random,sb3_league,N/A,N/A,J1,7,30,30,7,10,1,9
752,random,sb3_league,N/A,N/A,J1,18,30,30,18,9,2,7
753,random,sb3_league,N/A,N/A,J1,10,30,30,10,12,0,12
754,random,sb3_league,N/A,N/A,J1,14,30,30,14,14,4,10
755,random,sb3_league,N/A,N/A,J1,10,30,30,10,13,2,11
756,random,sb3_league,N/A,N/A,J1,7,30,30,7,11,0,11
757,random,sb3_league,N/A,N/A,J1,8,30,30,8,12,0,12
758,random,sb3_league,N/A,N/A,J1,11,30,30,11,10,2,8
759,random,sb3_league,N/A,N/A,J1,5,30,30,5,10,0,10
760,random,sb3_league,N/A,N/A,J1,26,30,30,26,13,2,11
