game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
979,rational,random,J0,30,1,1,30,1,1,0
980,rational,random,J0,30,6,6,30,19,17,2
981,rational,random,J0,30,10,10,30,13,9,4
982,rational,random,J0,30,6,6,30,18,16,2
983,rational,random,J0,30,10,10,30,18,15,3
984,rational,random,J0,30,0,0,30,0,0,0
985,rational,random,J0,30,6,6,30,18,16,2
986,rational,random,J0,30,12,12,30,19,13,6
987,rational,random,J0,30,5,5,30,12,10,2
988,rational,random,J0,30,22,22,30,24,17,7
989,rational,random,J0,30,13,13,30,17,12,5
990,rational,random,J0,30,3,3,30,3,1,2
991,rational,random,J0,30,4,4,30,10,9,1
992,rational,random,J0,30,1,1,30,1,1,0
993,rational,random,J0,30,21,21,30,28,21,7
994,rational,random,J0,30,4,4,30,12,10,2
995,rational,random,J0,30,4,4,30,17,16,1
996,rational,random,J0,30,2,2,30,4,2,2
997,rational,random,J0,30,3,3,30,17,15,2
998,rational,random,J0,30,2,2,30,7,7,0
999,rational,random,J0,30,6,6,30,15,13,2
1000,rational,random,J0,30,0,0,30,0,0,0
