game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
321,16,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,3,31,-28,1,J0,11-1|3-2|2-0,6-0|6-2|5-2,,,,,,,,,FALTA_ENVIDO,raise,J0,rational,20,20,22,20,2,0,0,,
321,16,rational,sb3,envido,J0,0,rational,J1,sb3,FALTA_ENVIDO,1,,1,2,0,31,3,28,0,J0,6-0|6-2|5-2,11-1|3-2|2-0,,,,,,,,,NO_QUIERO,decline,J1,sb3,20,20,22,20,2,0,2,,
321,16,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,2,0,,,,,,,,,11-1|2-0,6-0|6-2,9.0,7.5,15.0,3.0,3.0,6.0,4.5,0,NO_QUIERO,decline,J0,rational,22,20,22,21,0,1,1,J1,1
321,17,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,28,23,5,0,J1,2-3|5-0|6-3,3-3|11-1,,,,,,,,,NO_QUIERO,decline,J0,rational,22,21,22,22,0,1,1,,
321,17,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,1,0,,,,,,,,,2-3|5-0|6-3,3-3|11-1,9.0,4.666666666666667,12.0,10.0,8.0,16.0,-3.333333333333333,1,QUIERO,accept,J0,rational,22,22,24,22,2,0,0,J0,0
321,18,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,24,7,17,1,J1,4-0|2-1|11-0,7-2|2-0|3-3,,,,,,,,,NO_QUIERO,decline,J0,rational,24,22,24,23,0,1,1,,
321,18,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,1,0,,,,,,,,,4-0|2-1|11-0,7-2|2-0|3-3,9.0,5.333333333333333,15.0,11.0,10.0,21.0,-4.666666666666667,1,QUIERO,accept,J0,rational,24,23,26,23,2,0,0,J0,0
321,19,rational,sb3,envido,J0,0,rational,J1,sb3,ENVIDO,1,,0,0,0,28,22,6,0,J0,7-1|5-2|3-2,2-3|1-2|11-3,,,,,,,,,NO_QUIERO,decline,J1,sb3,26,23,27,23,1,0,1,,
321,19,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,2,0,,,,,,,,,2-3|1-2,7-1,9.0,8.5,17.0,4.0,4.0,4.0,4.5,0,NO_QUIERO,decline,J0,rational,27,23,27,24,0,1,1,J1,1
321,20,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,23,24,-1,1,J1,7-0|12-2|3-2,3-0|4-3|12-3,,,,,,,,,NO_QUIERO,decline,J0,rational,27,24,27,25,0,1,1,,
321,20,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,2,0,,,,,,,,,12-2|3-2,3-0|12-3,10.0,8.5,17.0,10.0,8.5,17.0,0.0,0,QUIERO,accept,J0,rational,27,25,27,27,0,2,2,J1,1
321,21,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,20,6,14,1,J1,7-1|10-0|11-0,6-3|2-1,,,,,,,,,NO_QUIERO,decline,J0,rational,27,27,27,28,0,1,1,,
321,22,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,1,0,,,,,,,,,11-1|11-2|11-0,12-1|4-3|11-3,6.0,6.0,12.0,7.0,4.666666666666667,13.0,1.333333333333333,0,QUIERO,accept,J0,rational,28,28,30,28,2,0,0,J0,0
322,1,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,7,0,7,1,J1,5-0|11-2|7-1,10-0|10-1,,,,,,,,,NO_QUIERO,decline,J0,rational,0,0,0,1,0,1,1,,
322,1,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,1,0,,,,,,,,,5-0|11-2|7-1,10-0|10-1,6.0,4.0,10.0,5.0,5.0,10.0,-1.0,1,NO_QUIERO,decline,J0,rational,0,1,0,2,0,1,1,J1,1
322,2,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,27,3,24,0,J1,1-3|6-3|4-0,3-2|12-3|3-0,,,,,,,,,NO_QUIERO,decline,J0,rational,0,2,0,3,0,1,1,,
322,3,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,21,22,-1,1,J1,1-1|12-1|1-0,12-3|12-0,,,,,,,,,NO_QUIERO,decline,J0,rational,1,3,1,4,0,1,1,,
322,3,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,2,0,,,,,,,,,1-1|1-0,12-0,14.0,13.5,27.0,7.0,7.0,7.0,6.5,0,QUIERO,accept,J0,rational,1,4,1,6,0,2,2,J1,1
322,4,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,30,27,3,0,J1,7-0|3-0|1-1,3-2|6-0|1-0,,,,,,,,,QUIERO,accept,J0,rational,1,6,1,8,0,2,2,,
322,4,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,2,0,,,,,,,,,7-0|3-0,3-2,12.0,11.0,22.0,10.0,10.0,10.0,1.0,0,QUIERO,accept,J0,rational,1,8,1,10,0,2,2,J1,1
322,5,rational,sb3,envido,J0,0,rational,J1,sb3,REAL_ENVIDO,1,,0,0,0,33,27,6,0,J0,7-2|6-2|10-0,2-1|5-1|3-2,,,,,,,,,NO_QUIERO,decline,J1,sb3,1,10,2,10,1,0,1,,
322,6,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,21,27,-6,1,J0,10-3|11-0|1-3,11-3|3-2|7-3,,,,,,,,,QUIERO,accept,J0,rational,2,11,4,11,2,0,0,,
322,6,rational,sb3,truco,J1,1,sb3,J0,rational,TRUCO,2,0,,,,,,,,,10-3|11-0,11-3,6.0,5.5,11.0,6.0,6.0,6.0,-0.5,1,QUIERO,accept,J0,rational,4,11,6,11,2,0,0,J0,0
322,7,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,22,4,18,1,J1,3-1|11-2|2-2,11-1|4-0,,,,,,,,,NO_QUIERO,decline,J0,rational,6,11,6,12,0,1,1,,
322,8,rational,sb3,envido,J1,1,sb3,J0,rational,ENVIDO,1,,0,0,0,27,24,3,0,J1,7-2|12-2|1-1,7-0|11-1|4-1,,,,,,,,,NO_QUIERO,decline,J0,rational,6,13,6,14,0,1,1,,
