timesteps,policy_gradient_loss,value_loss,entropy_loss,loss
352257,-3.666708e-03,9.331976e-01,-1.211857e+00,4.201940e-01
356353,-3.998808e-03,9.230921e-01,-1.208525e+00,4.136355e-01
360449,-3.290511e-03,8.721110e-01,-1.207246e+00,3.361693e-01
364545,-4.036275e-03,8.743631e-01,-1.192976e+00,3.928704e-01
368641,-4.516884e-03,9.296279e-01,-1.209649e+00,3.894655e-01
372737,-3.646008e-03,9.334234e-01,-1.190497e+00,4.096407e-01
376833,-4.356260e-03,9.350579e-01,-1.167936e+00,3.753011e-01
380929,-3.597788e-03,9.379678e-01,-1.179135e+00,3.987561e-01
385025,-3.105606e-03,8.590436e-01,-1.200947e+00,3.666689e-01
389121,-3.638561e-03,9.062415e-01,-1.212082e+00,3.637301e-01
393217,-3.429510e-03,8.901888e-01,-1.217062e+00,3.659421e-01
397313,-3.593477e-03,8.626216e-01,-1.191254e+00,3.583435e-01
401409,-4.987180e-03,8.525690e-01,-1.167546e+00,3.482900e-01
405505,-4.261004e-03,8.701655e-01,-1.149942e+00,3.572091e-01
409601,-2.985448e-03,8.734309e-01,-1.182122e+00,3.811058e-01
413697,-3.153745e-03,8.423314e-01,-1.159368e+00,3.691305e-01
417793,-4.061454e-03,8.384721e-01,-1.145110e+00,3.289430e-01
421889,-3.099150e-03,8.826686e-01,-1.167299e+00,3.580071e-01
425985,-6.022555e-03,8.041137e-01,-1.149054e+00,3.494191e-01
430081,-3.132073e-03,9.072851e-01,-1.167195e+00,3.782735e-01
434177,-4.165592e-03,8.711618e-01,-1.138919e+00,3.448319e-01
438273,-3.063682e-03,8.432120e-01,-1.119124e+00,3.452593e-01
442369,-3.858255e-03,8.208587e-01,-1.101808e+00,3.630243e-01
446465,-2.092464e-03,8.943217e-01,-1.092140e+00,3.696300e-01
450561,-2.823416e-03,8.390734e-01,-1.103083e+00,3.221205e-01
454657,-4.551508e-03,8.488298e-01,-1.096629e+00,3.453532e-01
458753,-3.155029e-03,8.100682e-01,-1.121044e+00,3.408300e-01
462849,-3.629411e-03,8.918225e-01,-1.126708e+00,3.702165e-01
466945,-3.526404e-03,8.861201e-01,-1.112584e+00,3.630538e-01
471041,-2.591619e-03,8.759407e-01,-1.111327e+00,3.495981e-01
475137,-3.342287e-03,8.258580e-01,-1.111561e+00,3.571694e-01
479233,-1.968374e-03,8.792919e-01,-1.109842e+00,3.751511e-01
483329,-3.611228e-03,8.539747e-01,-1.121602e+00,3.475802e-01
487425,-3.523532e-03,8.727216e-01,-1.114979e+00,3.597938e-01
491521,-2.862873e-03,8.254122e-01,-1.136067e+00,3.410353e-01
495617,-4.236160e-03,8.676171e-01,-1.144680e+00,3.734170e-01
499713,-3.218950e-03,8.801335e-01,-1.157935e+00,3.716949e-01
503809,-3.630579e-03,8.576648e-01,-1.150348e+00,3.733251e-01
507905,-4.096820e-03,8.395911e-01,-1.140496e+00,3.403104e-01
512001,-3.712518e-03,8.955803e-01,-1.133923e+00,3.782060e-01
516097,-3.540662e-03,8.613031e-01,-1.156899e+00,3.823688e-01
520193,-4.082950e-03,8.752168e-01,-1.125848e+00,3.808782e-01
524289,-4.330674e-03,8.582834e-01,-1.125642e+00,3.765249e-01
528385,-4.011409e-03,8.630946e-01,-1.131288e+00,3.620000e-01
532481,-2.743855e-03,8.381277e-01,-1.147997e+00,3.502014e-01
536577,-5.129639e-03,8.142099e-01,-1.156638e+00,3.437018e-01
540673,-3.799664e-03,8.601045e-01,-1.161714e+00,3.535878e-01
544769,-4.766300e-03,8.229858e-01,-1.154440e+00,3.630884e-01
548865,-3.734254e-03,8.185361e-01,-1.120825e+00,3.399010e-01
552961,-3.931257e-03,8.573425e-01,-1.127309e+00,3.780001e-01
557057,-4.897731e-03,8.840922e-01,-1.133417e+00,3.736641e-01
561153,-2.691904e-03,8.842295e-01,-1.118819e+00,3.900887e-01
565249,-4.205976e-03,8.279558e-01,-1.108369e+00,3.583241e-01
569345,-2.935555e-03,8.176790e-01,-1.138071e+00,3.382767e-01
573441,-4.181116e-03,8.520652e-01,-1.118783e+00,3.888536e-01
577537,-3.957806e-03,8.402251e-01,-1.126903e+00,3.415596e-01
581633,-4.546502e-03,8.455737e-01,-1.136816e+00,3.476632e-01
585729,-4.959404e-03,7.586787e-01,-1.095836e+00,3.247193e-01
589825,-3.599645e-03,7.936625e-01,-1.108471e+00,3.254566e-01
593921,-3.664296e-03,8.438503e-01,-1.119114e+00,4.051802e-01
598017,-5.689203e-03,8.811553e-01,-1.106089e+00,3.808807e-01
602113,-4.179116e-03,8.549288e-01,-1.098234e+00,3.435726e-01
606209,-5.606862e-03,8.295160e-01,-1.086625e+00,3.447879e-01
610305,-4.636003e-03,8.231677e-01,-1.068158e+00,3.547073e-01
614401,-2.734146e-03,8.136763e-01,-1.075195e+00,3.651517e-01
618497,-5.230727e-03,8.462106e-01,-1.073961e+00,3.636844e-01
622593,-3.499195e-03,8.126479e-01,-1.077679e+00,3.388915e-01
626689,-4.885787e-03,8.662051e-01,-1.074968e+00,3.820693e-01
630785,-2.411449e-03,8.482669e-01,-1.052513e+00,3.745951e-01
634881,-3.057855e-03,7.902900e-01,-1.074530e+00,3.462693e-01
638977,-2.415625e-03,8.371119e-01,-1.085994e+00,3.771329e-01
643073,-5.307539e-03,8.244733e-01,-1.063334e+00,3.409531e-01
647169,-4.764997e-03,8.059608e-01,-1.054899e+00,3.102763e-01
651265,-5.780671e-03,8.196504e-01,-1.051292e+00,3.583568e-01
655361,-4.552547e-03,7.684782e-01,-1.032259e+00,3.183330e-01
659457,-3.661633e-03,8.908637e-01,-1.051450e+00,3.735846e-01
663553,-3.414491e-03,8.353698e-01,-1.074441e+00,3.227654e-01
667649,-4.095363e-03,8.405784e-01,-1.083778e+00,3.486186e-01
671745,-2.909594e-03,8.382099e-01,-1.091059e+00,3.708395e-01
675841,-4.370534e-03,8.869371e-01,-1.084426e+00,3.596223e-01
679937,-3.906958e-03,8.671279e-01,-1.093855e+00,3.586626e-01
684033,-3.951997e-03,8.182654e-01,-1.067267e+00,3.524129e-01
688129,-4.292560e-03,8.155765e-01,-1.085162e+00,3.676637e-01
692225,-3.315372e-03,8.249227e-01,-1.109679e+00,3.493625e-01
696321,-3.197264e-03,8.335472e-01,-1.068367e+00,3.883902e-01
700417,-3.980290e-03,8.760347e-01,-1.090847e+00,3.876636e-01
704513,-4.792654e-03,8.112518e-01,-1.085808e+00,3.550814e-01
708609,-3.783744e-03,8.375475e-01,-1.077127e+00,3.517203e-01
712705,-3.748072e-03,8.940180e-01,-1.068878e+00,3.797835e-01
716801,-3.494693e-03,7.916537e-01,-1.065242e+00,3.169376e-01
720897,-3.683557e-03,8.068371e-01,-1.070007e+00,3.342419e-01
724993,-4.548667e-03,8.097585e-01,-1.089145e+00,3.555923e-01
729089,-5.386087e-03,8.157359e-01,-1.086165e+00,3.391291e-01
733185,-3.625941e-03,8.049139e-01,-1.103325e+00,3.563005e-01
737281,-3.245134e-03,8.073478e-01,-1.093804e+00,3.477302e-01
741377,-4.624549e-03,7.953602e-01,-1.082895e+00,3.328011e-01
745473,-2.897491e-03,7.476431e-01,-1.065875e+00,3.045003e-01
749569,-3.591462e-03,8.288011e-01,-1.077887e+00,3.675019e-01
753665,-4.073269e-03,7.985882e-01,-1.066567e+00,3.352307e-01
757761,-3.772619e-03,8.119550e-01,-1.073473e+00,3.293292e-01
761857,-3.115089e-03,8.002113e-01,-1.047462e+00,3.582368e-01
765953,-3.758851e-03,8.078427e-01,-1.063163e+00,3.519258e-01
770049,-3.154207e-03,7.922627e-01,-1.060564e+00,3.545424e-01
774145,-2.789065e-03,7.541755e-01,-1.069930e+00,2.987145e-01
778241,-3.737852e-03,8.172366e-01,-1.069063e+00,3.446076e-01
782337,-5.101756e-03,8.376200e-01,-1.081821e+00,3.689173e-01
