game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
802,sb3_league,sb3_league,N/A,N/A,J0,30,1,1,30,2,2,0
803,sb3_league,sb3_league,N/A,N/A,J0,30,17,17,30,10,3,7
804,sb3_league,sb3_league,N/A,N/A,J0,30,4,4,30,5,3,2
805,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,5,3,2
806,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
807,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,3,3,0
808,sb3_league,sb3_league,N/A,N/A,J0,30,4,4,30,3,2,1
809,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,8,2,6
810,sb3_league,sb3_league,N/A,N/A,J0,30,14,14,30,10,4,6
811,sb3_league,sb3_league,N/A,N/A,J1,29,30,30,29,17,9,8
812,sb3_league,sb3_league,N/A,N/A,J0,30,11,11,30,7,4,3
813,sb3_league,sb3_league,N/A,N/A,J0,30,13,13,30,11,4,7
814,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,14,8,6
815,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,8,4,4
816,sb3_league,sb3_league,N/A,N/A,J1,12,30,30,12,10,3,7
817,sb3_league,sb3_league,N/A,N/A,J0,30,25,25,30,16,6,10
818,sb3_league,sb3_league,N/A,N/A,J0,30,21,21,30,14,3,11
819,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,6,2,4
820,sb3_league,sb3_league,N/A,N/A,J0,30,20,20,30,14,7,7
821,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,12,2,10
822,sb3_league,sb3_league,N/A,N/A,J0,30,12,12,30,11,4,7
823,sb3_league,sb3_league,N/A,N/A,J0,30,19,19,30,14,5,9
824,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,11,7,4
825,sb3_league,sb3_league,N/A,N/A,J1,14,30,30,14,10,1,9
826,sb3_league,sb3_league,N/A,N/A,J0,30,3,3,30,3,2,1
827,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,7,3,4
828,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,5,4,1
829,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,7,3,4
830,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,12,6,6
831,sb3_league,sb3_league,N/A,N/A,J1,19,30,30,19,11,7,4
832,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,6,3,3
833,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
834,sb3_league,sb3_league,N/A,N/A,J1,12,30,30,12,10,3,7
835,sb3_league,sb3_league,N/A,N/A,J1,19,30,30,19,10,4,6
836,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,10,5,5
837,sb3_league,sb3_league,N/A,N/A,J1,28,30,30,28,11,7,4
838,sb3_league,sb3_league,N/A,N/A,J0,30,19,19,30,14,6,8
839,sb3_league,sb3_league,N/A,N/A,J1,13,30,30,13,7,3,4
840,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,9,3,6
841,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,15,7,8
842,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,12,3,9
843,sb3_league,sb3_league,N/A,N/A,J1,22,30,30,22,10,5,5
844,sb3_league,sb3_league,N/A,N/A,J0,30,17,17,30,12,7,5
845,sb3_league,sb3_league,N/A,N/A,J1,10,30,30,10,8,1,7
846,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
847,sb3_league,sb3_league,N/A,N/A,J0,30,14,14,30,14,6,8
848,sb3_league,sb3_league,N/A,N/A,J1,23,30,30,23,13,6,7
849,sb3_league,sb3_league,N/A,N/A,J0,30,21,21,30,12,3,9
850,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,13,5,8
851,sb3_league,sb3_league,N/A,N/A,J0,30,27,27,30,15,5,10
852,sb3_league,sb3_league,N/A,N/A,J1,23,30,30,23,17,5,12
853,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,12,4,8
854,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,6,2,4
855,sb3_league,sb3_league,N/A,N/A,J0,30,3,3,30,2,0,2
856,sb3_league,sb3_league,N/A,N/A,J0,30,23,23,30,10,4,6
857,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,11,3,8
858,sb3_league,sb3_league,N/A,N/A,J0,30,1,1,30,3,2,1
859,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,12,3,9
860,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,10,7,3
861,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,9,4,5
862,sb3_league,sb3_league,N/A,N/A,J0,30,25,25,30,10,6,4
863,sb3_league,sb3_league,N/A,N/A,J0,30,13,13,30,10,4,6
864,sb3_league,sb3_league,N/A,N/A,J0,30,21,21,30,13,5,8
865,sb3_league,sb3_league,N/A,N/A,J1,29,30,30,29,13,5,8
866,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,5,2,3
867,sb3_league,sb3_league,N/A,N/A,J1,27,30,30,27,16,7,9
868,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,4,2,2
869,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,9,3,6
870,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,7,3,4
871,sb3_league,sb3_league,N/A,N/A,J0,30,24,24,30,14,4,10
872,sb3_league,sb3_league,N/A,N/A,J0,30,21,21,30,12,4,8
873,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,7,3,4
874,sb3_league,sb3_league,N/A,N/A,J1,22,30,30,22,13,4,9
875,sb3_league,sb3_league,N/A,N/A,J0,30,1,1,30,3,3,0
876,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,14,3,11
877,sb3_league,sb3_league,N/A,N/A,J1,16,30,30,16,10,4,6
878,sb3_league,sb3_league,N/A,N/A,J1,21,30,30,21,11,6,5
879,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,5,4,1
880,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,6,4,2
881,sb3_league,sb3_league,N/A,N/A,J0,30,24,24,30,12,9,3
882,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,2,1,1
883,sb3_league,sb3_league,N/A,N/A,J1,0,30,30,0,0,0,0
884,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,7,2,5
885,sb3_league,sb3_league,N/A,N/A,J0,30,23,23,30,13,5,8
886,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,10,3,7
887,sb3_league,sb3_league,N/A,N/A,J1,17,30,30,17,8,5,3
888,sb3_league,sb3_league,N/A,N/A,J1,29,30,30,29,15,7,8
889,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,12,3,9
890,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,13,4,9
891,sb3_league,sb3_league,N/A,N/A,J1,10,30,30,10,7,2,5
892,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,8,6,2
893,sb3_league,sb3_league,N/A,N/A,J0,30,15,15,30,6,6,0
894,sb3_league,sb3_league,N/A,N/A,J1,19,30,30,19,13,4,9
895,sb3_league,sb3_league,N/A,N/A,J0,30,13,13,30,11,6,5
896,sb3_league,sb3_league,N/A,N/A,J1,7,30,30,7,3,3,0
897,sb3_league,sb3_league,N/A,N/A,J0,30,15,15,30,10,3,7
898,sb3_league,sb3_league,N/A,N/A,J0,30,24,24,30,18,7,11
899,sb3_league,sb3_league,N/A,N/A,J1,14,30,30,14,4,4,0
900,sb3_league,sb3_league,N/A,N/A,J0,30,9,9,30,5,2,3
901,sb3_league,sb3_league,N/A,N/A,J0,30,24,24,30,11,2,9
902,sb3_league,sb3_league,N/A,N/A,J0,30,27,27,30,17,4,13
903,sb3_league,sb3_league,N/A,N/A,J1,4,30,30,4,1,1,0
904,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,9,4,5
905,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,10,5,5
906,sb3_league,sb3_league,N/A,N/A,J0,30,5,5,30,6,3,3
907,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,12,4,8
908,sb3_league,sb3_league,N/A,N/A,J1,26,30,30,26,7,4,3
909,sb3_league,sb3_league,N/A,N/A,J1,17,30,30,17,14,6,8
910,sb3_league,sb3_league,N/A,N/A,J0,30,14,14,30,10,6,4
911,sb3_league,sb3_league,N/A,N/A,J0,30,7,7,30,7,3,4
912,sb3_league,sb3_league,N/A,N/A,J1,11,30,30,11,3,2,1
913,sb3_league,sb3_league,N/A,N/A,J0,30,29,29,30,15,7,8
914,sb3_league,sb3_league,N/A,N/A,J1,16,30,30,16,11,4,7
915,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,6,4,2
916,sb3_league,sb3_league,N/A,N/A,J0,30,2,2,30,3,2,1
917,sb3_league,sb3_league,N/A,N/A,J0,30,17,17,30,10,4,6
918,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,16,5,11
919,sb3_league,sb3_league,N/A,N/A,J1,3,30,30,3,2,1,1
920,sb3_league,sb3_league,N/A,N/A,J1,20,30,30,20,9,4,5
921,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,4,1,3
922,sb3_league,sb3_league,N/A,N/A,J0,30,13,13,30,9,6,3
923,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
924,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,8,3,5
925,sb3_league,sb3_league,N/A,N/A,J1,7,30,30,7,6,1,5
926,sb3_league,sb3_league,N/A,N/A,J0,30,13,13,30,11,2,9
927,sb3_league,sb3_league,N/A,N/A,J0,30,26,26,30,9,4,5
928,sb3_league,sb3_league,N/A,N/A,J1,27,30,30,27,11,6,5
929,sb3_league,sb3_league,N/A,N/A,J0,30,24,24,30,13,8,5
930,sb3_league,sb3_league,N/A,N/A,J0,30,16,16,30,9,3,6
931,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,7,4,3
932,sb3_league,sb3_league,N/A,N/A,J0,30,17,17,30,13,4,9
933,sb3_league,sb3_league,N/A,N/A,J0,30,15,15,30,11,3,8
934,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,7,3,4
935,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,7,3,4
936,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,7,4,3
937,sb3_league,sb3_league,N/A,N/A,J0,30,6,6,30,5,2,3
938,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,3,3,0
939,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,1,1,0
940,sb3_league,sb3_league,N/A,N/A,J1,21,30,30,21,6,3,3
941,sb3_league,sb3_league,N/A,N/A,J1,17,30,30,17,5,4,1
942,sb3_league,sb3_league,N/A,N/A,J1,23,30,30,23,12,4,8
943,sb3_league,sb3_league,N/A,N/A,J0,30,8,8,30,5,2,3
944,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,8,1,7
945,sb3_league,sb3_league,N/A,N/A,J0,30,20,20,30,10,5,5
946,sb3_league,sb3_league,N/A,N/A,J1,29,30,30,29,19,3,16
947,sb3_league,sb3_league,N/A,N/A,J0,30,25,25,30,17,4,13
948,sb3_league,sb3_league,N/A,N/A,J0,30,14,14,30,9,3,6
949,sb3_league,sb3_league,N/A,N/A,J0,30,10,10,30,7,2,5
950,sb3_league,sb3_league,N/A,N/A,J0,30,18,18,30,13,6,7
951,sb3_league,sb3_league,N/A,N/A,J0,30,22,22,30,16,4,12
952,sb3_league,sb3_league,N/A,N/A,J0,30,1,1,30,3,2,1
953,sb3_league,sb3_league,N/A,N/A,J1,19,30,30,19,11,4,7
954,sb3_league,sb3_league,N/A,N/A,J1,22,30,30,22,10,7,3
955,sb3_league,sb3_league,N/A,N/A,J0,30,12,12,30,10,4,6
956,sb3_league,sb3_league,N/A,N/A,J0,30,26,26,30,21,5,16
957,sb3_league,sb3_league,N/A,N/A,J0,30,0,0,30,2,2,0
958,sb3_league,sb3_league,N/A,N/A,J1,27,30,30,27,12,5,7
959,sb3_league,sb3_league,N/A,N/A,J1,18,30,30,18,10,4,6
960,sb3_league,sb3_league,N/A,N/A,J0,30,12,12,30,8,4,4
961,sb3_league,sb3_league,N/A,N/A,J1,15,30,30,15,5,3,2
962,sb3_league,sb3_league,N/A,N/A,J1,23,30,30,23,14,6,8
963,sb3_league,sb3_league,N/A,N/A,J0,30,12,12,30,8,5,3
964,sb3_league,sb3_league,N/A,N/A,J1,24,30,30,24,6,5,1
965,sb3_league,sb3_league,N/A,N/A,J1,25,30,30,25,12,6,6
966,sb3_league,sb3_league,N/A,N/A,J1,17,30,30,17,6,3,3
