q_table,episode,winrate,wins,losses,ties
exp2_vs_rational_789987_ep192307.pkl,192307,0.420000,84,116,0
exp2_vs_rational_789987_ep384615.pkl,384615,0.490000,98,102,0
exp2_vs_rational_789987_ep576923.pkl,576923,0.525000,105,95,0
exp2_vs_rational_789987_ep769230.pkl,769230,0.575000,115,85,0
exp2_vs_rational_789987_ep961538.pkl,961538,0.510000,102,98,0
exp2_vs_rational_789987_ep1153846.pkl,1153846,0.525000,105,95,0
exp2_vs_rational_789987_ep1346153.pkl,1346153,0.535000,107,93,0
exp2_vs_rational_789987_ep1538461.pkl,1538461,0.490000,98,102,0
exp2_vs_rational_789987_ep1730769.pkl,1730769,0.590000,118,82,0
exp2_vs_rational_789987_ep1923076.pkl,1923076,0.510000,102,98,0
exp2_vs_rational_789987_ep2115384.pkl,2115384,0.595000,119,81,0
exp2_vs_rational_789987_ep2307692.pkl,2307692,0.625000,125,75,0
exp2_vs_rational_789987_ep2500000.pkl,2500000,0.595000,119,81,0
exp2_vs_rational_789987_ep2692307.pkl,2692307,0.575000,115,85,0
exp2_vs_rational_789987_ep2884615.pkl,2884615,0.605000,121,79,0
exp2_vs_rational_789987_ep3076923.pkl,3076923,0.665000,133,67,0
exp2_vs_rational_789987_ep3269230.pkl,3269230,0.660000,132,68,0
exp2_vs_rational_789987_ep3461538.pkl,3461538,0.645000,129,71,0
exp2_vs_rational_789987_ep3653846.pkl,3653846,0.640000,128,72,0
exp2_vs_rational_789987_ep3846153.pkl,3846153,0.675000,135,65,0
exp2_vs_rational_789987_ep4038461.pkl,4038461,0.660000,132,68,0
exp2_vs_rational_789987_ep4230769.pkl,4230769,0.660000,132,68,0
exp2_vs_rational_789987_ep4423076.pkl,4423076,0.615000,123,77,0
exp2_vs_rational_789987_ep4615384.pkl,4615384,0.715000,143,57,0
exp2_vs_rational_789987_ep4807692.pkl,4807692,0.735000,147,53,0
exp2_vs_rational_789987_ep5000000.pkl,5000000,0.675000,135,65,0
