game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1796,random,rational,J1,12,30,30,12,11,6,5
1797,random,rational,J0,30,18,18,30,15,7,8
1798,random,rational,J1,25,30,30,25,27,13,14
1799,random,rational,J1,16,30,30,16,18,8,10
1800,random,rational,J1,20,30,30,20,23,10,13
1801,random,rational,J0,30,6,6,30,5,3,2
1802,random,rational,J0,30,17,17,30,10,5,5
1803,random,rational,J1,5,30,30,5,4,3,1
1804,random,rational,J1,13,30,30,13,11,5,6
1805,random,rational,J1,5,30,30,5,8,2,6
1806,random,rational,J1,3,30,30,3,5,1,4
1807,random,rational,J1,21,30,30,21,22,9,13
1808,random,rational,J1,1,30,30,1,3,1,2
1809,random,rational,J1,9,30,30,9,12,6,6
1810,random,rational,J0,30,5,5,30,8,5,3
1811,random,rational,J1,5,30,30,5,12,4,8
1812,random,rational,J1,0,30,30,0,0,0,0
1813,random,rational,J1,6,30,30,6,9,4,5
1814,random,rational,J1,29,30,30,29,24,9,15
1815,random,rational,J1,2,30,30,2,2,1,1
1816,random,rational,J1,23,30,30,23,20,13,7
1817,random,rational,J1,12,30,30,12,15,7,8
1818,random,rational,J1,14,30,30,14,16,8,8
1819,random,rational,J1,12,30,30,12,15,6,9
1820,random,rational,J1,9,30,30,9,13,5,8
1821,random,rational,J1,3,30,30,3,2,2,0
1822,random,rational,J0,30,10,10,30,12,6,6
1823,random,rational,J0,30,20,20,30,22,11,11
1824,random,rational,J1,10,30,30,10,10,6,4
1825,random,rational,J1,9,30,30,9,10,3,7
1826,random,rational,J1,2,30,30,2,2,2,0
1827,random,rational,J1,1,30,30,1,2,0,2
1828,random,rational,J0,30,23,23,30,24,10,14
1829,random,rational,J1,22,30,30,22,20,14,6
1830,random,rational,J1,3,30,30,3,3,3,0
1831,random,rational,J1,10,30,30,10,12,6,6
1832,random,rational,J1,1,30,30,1,1,1,0
1833,random,rational,J1,0,30,30,0,3,0,3
1834,random,rational,J1,8,30,30,8,15,4,11
1835,random,rational,J1,7,30,30,7,3,2,1
1836,random,rational,J1,11,30,30,11,9,6,3
1837,random,rational,J1,9,30,30,9,13,5,8
1838,random,rational,J0,30,27,27,30,11,5,6
1839,random,rational,J0,30,19,19,30,20,10,10
1840,random,rational,J0,30,25,25,30,18,8,10
1841,random,rational,J0,30,23,23,30,24,13,11
1842,random,rational,J0,30,11,11,30,9,4,5
1843,random,rational,J1,10,30,30,10,15,4,11
1844,random,rational,J1,0,30,30,0,0,0,0
1845,random,rational,J1,11,30,30,11,12,5,7
1846,random,rational,J1,2,30,30,2,3,1,2
1847,random,rational,J1,21,30,30,21,27,11,16
1848,random,rational,J1,2,30,30,2,2,1,1
1849,random,rational,J1,11,30,30,11,16,7,9
1850,random,rational,J1,28,30,30,28,19,10,9
1851,random,rational,J1,25,30,30,25,17,9,8
1852,random,rational,J1,21,30,30,21,20,9,11
1853,random,rational,J1,7,30,30,7,7,3,4
1854,random,rational,J1,3,30,30,3,7,2,5
1855,random,rational,J1,20,30,30,20,16,9,7
1856,random,rational,J1,9,30,30,9,11,5,6
1857,random,rational,J1,16,30,30,16,16,7,9
1858,random,rational,J1,17,30,30,17,20,9,11
1859,random,rational,J1,9,30,30,9,13,6,7
1860,random,rational,J1,2,30,30,2,2,1,1
1861,random,rational,J1,3,30,30,3,4,1,3
1862,random,rational,J1,23,30,30,23,19,8,11
1863,random,rational,J1,4,30,30,4,5,3,2
1864,random,rational,J1,3,30,30,3,5,1,4
1865,random,rational,J1,4,30,30,4,2,2,0
1866,random,rational,J1,2,30,30,2,2,2,0
1867,random,rational,J1,26,30,30,26,25,17,8
1868,random,rational,J1,3,30,30,3,3,1,2
1869,random,rational,J1,0,30,30,0,0,0,0
1870,random,rational,J1,14,30,30,14,16,9,7
1871,random,rational,J0,30,25,25,30,26,19,7
1872,random,rational,J0,30,25,25,30,20,12,8
1873,random,rational,J1,27,30,30,27,17,8,9
1874,random,rational,J1,6,30,30,6,7,3,4
1875,random,rational,J1,15,30,30,15,20,7,13
1876,random,rational,J1,20,30,30,20,15,10,5
1877,random,rational,J1,0,30,30,0,0,0,0
1878,random,rational,J1,0,30,30,0,1,0,1
1879,random,rational,J1,11,30,30,11,15,6,9
1880,random,rational,J1,12,30,30,12,15,6,9
1881,random,rational,J1,1,30,30,1,5,1,4
1882,random,rational,J1,15,30,30,15,15,8,7
1883,random,rational,J1,5,30,30,5,3,2,1
1884,random,rational,J1,2,30,30,2,2,0,2
1885,random,rational,J1,0,30,30,0,1,0,1
1886,random,rational,J1,6,30,30,6,8,3,5
1887,random,rational,J1,9,30,30,9,16,6,10
1888,random,rational,J1,8,30,30,8,8,5,3
1889,random,rational,J1,18,30,30,18,19,9,10
1890,random,rational,J1,24,30,30,24,21,13,8
1891,random,rational,J0,30,0,0,30,1,1,0
1892,random,rational,J1,28,30,30,28,22,13,9
1893,random,rational,J1,18,30,30,18,25,10,15
1894,random,rational,J1,18,30,30,18,21,8,13
1895,random,rational,J1,11,30,30,11,12,4,8
1896,random,rational,J1,3,30,30,3,3,3,0
1897,random,rational,J1,12,30,30,12,12,7,5
1898,random,rational,J1,20,30,30,20,20,9,11
1899,random,rational,J1,2,30,30,2,6,1,5
1900,random,rational,J1,9,30,30,9,10,6,4
1901,random,rational,J1,21,30,30,21,21,9,12
1902,random,rational,J1,18,30,30,18,19,10,9
1903,random,rational,J1,24,30,30,24,21,14,7
1904,random,rational,J1,1,30,30,1,1,0,1
1905,random,rational,J1,11,30,30,11,11,5,6
1906,random,rational,J1,10,30,30,10,11,6,5
1907,random,rational,J1,10,26,26,10,18,6,12
1908,random,rational,J1,15,30,30,15,10,5,5
1909,random,rational,J0,30,4,4,30,3,0,3
1910,random,rational,J0,30,0,0,30,0,0,0
1911,random,rational,J1,16,30,30,16,15,7,8
1912,random,rational,J1,3,30,30,3,4,1,3
1913,random,rational,J1,5,30,30,5,9,3,6
1914,random,rational,J1,19,30,30,19,22,10,12
1915,random,rational,J1,9,30,30,9,19,5,14
1916,random,rational,J1,6,30,30,6,5,3,2
1917,random,rational,J1,25,30,30,25,21,13,8
1918,random,rational,J1,13,30,30,13,12,7,5
1919,random,rational,J1,8,30,30,8,8,4,4
1920,random,rational,J0,30,0,0,30,0,0,0
1921,random,rational,J1,2,30,30,2,3,1,2
1922,random,rational,J0,30,20,20,30,7,4,3
1923,random,rational,J1,17,30,30,17,17,8,9
1924,random,rational,J1,26,30,30,26,23,12,11
1925,random,rational,J1,26,30,30,26,20,11,9
1926,random,rational,J1,4,30,30,4,3,3,0
1927,random,rational,J0,30,27,27,30,29,18,11
1928,random,rational,J1,27,30,30,27,21,10,11
1929,random,rational,J1,28,30,30,28,25,13,12
1930,random,rational,J1,27,30,30,27,21,13,8
1931,random,rational,J1,2,30,30,2,6,1,5
1932,random,rational,J1,7,30,30,7,6,2,4
1933,random,rational,J1,19,30,30,19,22,10,12
1934,random,rational,J1,0,30,30,0,0,0,0
1935,random,rational,J1,3,30,30,3,2,2,0
1936,random,rational,J1,2,30,30,2,4,1,3
1937,random,rational,J1,16,30,30,16,13,7,6
1938,random,rational,J1,15,30,30,15,17,7,10
1939,random,rational,J1,27,30,30,27,29,16,13
1940,random,rational,J1,1,30,30,1,2,0,2
1941,random,rational,J1,10,30,30,10,12,6,6
1942,random,rational,J1,27,30,30,27,24,14,10
1943,random,rational,J1,14,30,30,14,15,6,9
1944,random,rational,J1,1,30,30,1,3,1,2
1945,random,rational,J1,3,30,30,3,2,2,0
1946,random,rational,J1,20,30,30,20,19,10,9
1947,random,rational,J1,11,30,30,11,12,6,6
1948,random,rational,J1,13,30,30,13,14,6,8
1949,random,rational,J1,6,30,30,6,5,2,3
1950,random,rational,J0,30,20,20,30,23,17,6
1951,random,rational,J1,2,30,30,2,3,1,2
1952,random,rational,J1,7,30,30,7,7,3,4
1953,random,rational,J1,8,30,30,8,12,4,8
1954,random,rational,J1,11,30,30,11,16,3,13
1955,random,rational,J1,19,30,30,19,17,8,9
1956,random,rational,J0,30,15,15,30,11,6,5
1957,random,rational,J1,4,30,30,4,4,3,1
1958,random,rational,J0,30,12,12,30,16,12,4
1959,random,rational,J1,4,30,30,4,4,3,1
1960,random,rational,J1,18,30,30,18,23,7,16
1961,random,rational,J1,5,30,30,5,6,3,3
1962,random,rational,J1,10,30,30,10,12,4,8
1963,random,rational,J1,6,30,30,6,5,2,3
1964,random,rational,J1,16,30,30,16,15,10,5
1965,random,rational,J1,9,30,30,9,10,4,6
1966,random,rational,J0,30,27,27,30,23,15,8
1967,random,rational,J1,17,30,30,17,21,10,11
1968,random,rational,J1,17,30,30,17,22,10,12
1969,random,rational,J1,29,30,30,29,29,16,13
1970,random,rational,J1,17,30,30,17,15,8,7
1971,random,rational,J0,30,0,0,30,2,2,0
1972,random,rational,J1,12,30,30,12,19,7,12
1973,random,rational,J1,22,30,30,22,21,13,8
1974,random,rational,J1,0,30,30,0,1,0,1
1975,random,rational,J1,15,30,30,15,11,7,4
1976,random,rational,J1,8,30,30,8,14,6,8
1977,random,rational,J1,14,30,30,14,10,6,4
1978,random,rational,J1,11,30,30,11,16,6,10
1979,random,rational,J1,7,30,30,7,6,3,3
1980,random,rational,J1,24,30,30,24,21,10,11
1981,random,rational,J1,26,30,30,26,19,14,5
1982,random,rational,J1,9,30,30,9,12,6,6
1983,random,rational,J1,29,30,30,29,26,15,11
1984,random,rational,J1,29,30,30,29,26,16,10
1985,random,rational,J1,22,30,30,22,24,11,13
1986,random,rational,J1,14,30,30,14,11,7,4
1987,random,rational,J1,23,30,30,23,25,13,12
1988,random,rational,J1,22,30,30,22,19,12,7
1989,random,rational,J1,19,30,30,19,21,10,11
1990,random,rational,J0,30,24,24,30,22,16,6
1991,random,rational,J1,25,30,30,25,22,15,7
1992,random,rational,J1,19,30,30,19,16,12,4
1993,random,rational,J0,30,22,22,30,24,17,7
1994,random,rational,J1,16,30,30,16,15,8,7
1995,random,rational,J1,0,30,30,0,2,0,2
1996,random,rational,J1,15,30,30,15,18,8,10
1997,random,rational,J1,9,30,30,9,9,3,6
1998,random,rational,J1,21,30,30,21,18,12,6
1999,random,rational,J1,14,30,30,14,14,7,7
2000,random,rational,J1,24,30,30,24,23,10,13
2001,random,rational,J1,15,30,30,15,10,5,5
2002,random,rational,J1,2,30,30,2,4,2,2
2003,random,rational,J1,5,30,30,5,3,2,1
2004,random,rational,J1,2,30,30,2,3,1,2
2005,random,rational,J1,12,30,30,12,11,4,7
2006,random,rational,J0,30,25,25,30,16,6,10
2007,random,rational,J1,14,30,30,14,13,9,4
2008,random,rational,J0,30,19,19,30,23,13,10
2009,random,rational,J1,0,30,30,0,0,0,0
2010,random,rational,J0,30,6,6,30,11,8,3
2011,random,rational,J1,8,30,30,8,12,6,6
2012,random,rational,J1,29,30,30,29,20,14,6
2013,random,rational,J0,30,26,26,30,22,16,6
2014,random,rational,J1,25,30,30,25,25,11,14
2015,random,rational,J1,16,30,30,16,15,7,8
2016,random,rational,J1,10,30,30,10,9,5,4
2017,random,rational,J1,15,30,30,15,11,6,5
2018,random,rational,J1,12,30,30,12,12,5,7
2019,random,rational,J0,30,2,2,30,3,3,0
2020,random,rational,J1,13,30,30,13,19,9,10
2021,random,rational,J1,12,30,30,12,14,9,5
2022,random,rational,J1,23,30,30,23,23,12,11
2023,random,rational,J1,7,30,30,7,13,2,11
2024,random,rational,J1,18,30,30,18,15,10,5
2025,random,rational,J1,10,30,30,10,10,4,6
